Country Name,Indicator Name,Year,Value
Barbados,Agricultural raw materials imports (% of merchandise imports),1990,0
Barbados,Agricultural raw materials exports (% of merchandise exports),1990,0
Barbados,Gross savings (% of GDP),1990,15.28487371
Barbados,Total natural resources rents (% of GDP),1990,0.406825332
Belarus,Agricultural raw materials imports (% of merchandise imports),1990,0
Belarus,Agricultural raw materials exports (% of merchandise exports),1990,0
Belarus,Gross savings (% of GDP),1990,0
Belarus,Total natural resources rents (% of GDP),1990,1.216085713
Belgium,Agricultural raw materials imports (% of merchandise imports),1990,0
Belgium,Agricultural raw materials exports (% of merchandise exports),1990,0
Belgium,Gross savings (% of GDP),1990,0
Belgium,Total natural resources rents (% of GDP),1990,0.045597468
Belize,Agricultural raw materials imports (% of merchandise imports),1990,0
Belize,Agricultural raw materials exports (% of merchandise exports),1990,0
Belize,Gross savings (% of GDP),1990,51.26664178
Belize,Total natural resources rents (% of GDP),1990,0.763749696
Benin,Agricultural raw materials imports (% of merchandise imports),1990,0
Benin,Agricultural raw materials exports (% of merchandise exports),1990,0
Benin,Gross savings (% of GDP),1990,9.688373957
Benin,Total natural resources rents (% of GDP),1990,7.735959675
Bermuda,Agricultural raw materials imports (% of merchandise imports),1990,0
Bermuda,Agricultural raw materials exports (% of merchandise exports),1990,0
Bermuda,Gross savings (% of GDP),1990,0
Bermuda,Total natural resources rents (% of GDP),1990,0
Bhutan,Agricultural raw materials imports (% of merchandise imports),1990,0
Bhutan,Agricultural raw materials exports (% of merchandise exports),1990,0
Bhutan,Gross savings (% of GDP),1990,0
Bhutan,Total natural resources rents (% of GDP),1990,6.008754522
Bolivia,Agricultural raw materials imports (% of merchandise imports),1990,0
Bolivia,Agricultural raw materials exports (% of merchandise exports),1990,0
Bolivia,Gross savings (% of GDP),1990,9.54598917
Bolivia,Total natural resources rents (% of GDP),1990,7.266619363
Bosnia and Herzegovina,Agricultural raw materials imports (% of merchandise imports),1990,0
Bosnia and Herzegovina,Agricultural raw materials exports (% of merchandise exports),1990,0
Bosnia and Herzegovina,Gross savings (% of GDP),1990,0
Bosnia and Herzegovina,Total natural resources rents (% of GDP),1990,0
Botswana,Agricultural raw materials imports (% of merchandise imports),1990,0
Botswana,Agricultural raw materials exports (% of merchandise exports),1990,0
Botswana,Gross savings (% of GDP),1990,41.64785275
Botswana,Total natural resources rents (% of GDP),1990,2.049023856
Brazil,Agricultural raw materials imports (% of merchandise imports),1990,2.570037409
Brazil,Agricultural raw materials exports (% of merchandise exports),1990,3.442709883
Brazil,Gross savings (% of GDP),1990,18.95279122
Brazil,Total natural resources rents (% of GDP),1990,2.284146965
British Virgin Islands,Agricultural raw materials imports (% of merchandise imports),1990,0
British Virgin Islands,Agricultural raw materials exports (% of merchandise exports),1990,0
British Virgin Islands,Gross savings (% of GDP),1990,0
British Virgin Islands,Total natural resources rents (% of GDP),1990,0
Brunei Darussalam,Agricultural raw materials imports (% of merchandise imports),1990,0
Brunei Darussalam,Agricultural raw materials exports (% of merchandise exports),1990,0
Brunei Darussalam,Gross savings (% of GDP),1990,0
Brunei Darussalam,Total natural resources rents (% of GDP),1990,34.7026768
Bulgaria,Agricultural raw materials imports (% of merchandise imports),1990,0
Bulgaria,Agricultural raw materials exports (% of merchandise exports),1990,0
Bulgaria,Gross savings (% of GDP),1990,14.65501668
Bulgaria,Total natural resources rents (% of GDP),1990,1.109793656
Burkina Faso,Agricultural raw materials imports (% of merchandise imports),1990,0
Burkina Faso,Agricultural raw materials exports (% of merchandise exports),1990,0
Burkina Faso,Gross savings (% of GDP),1990,0
Burkina Faso,Total natural resources rents (% of GDP),1990,6.816249935
Burundi,Agricultural raw materials imports (% of merchandise imports),1990,0
Burundi,Agricultural raw materials exports (% of merchandise exports),1990,0
Burundi,Gross savings (% of GDP),1990,8.70394136
Burundi,Total natural resources rents (% of GDP),1990,13.37103254
Cabo Verde,Agricultural raw materials imports (% of merchandise imports),1990,0
Cabo Verde,Agricultural raw materials exports (% of merchandise exports),1990,0
Cabo Verde,Gross savings (% of GDP),1990,0
Cabo Verde,Total natural resources rents (% of GDP),1990,0.59928651
Cambodia,Agricultural raw materials imports (% of merchandise imports),1990,0
Cambodia,Agricultural raw materials exports (% of merchandise exports),1990,0
Cambodia,Gross savings (% of GDP),1990,0
Cambodia,Total natural resources rents (% of GDP),1990,0
Cameroon,Agricultural raw materials imports (% of merchandise imports),1990,0.455971371
Cameroon,Agricultural raw materials exports (% of merchandise exports),1990,14.29032736
Cameroon,Gross savings (% of GDP),1990,16.18676864
Cameroon,Total natural resources rents (% of GDP),1990,13.10435184
Canada,Agricultural raw materials imports (% of merchandise imports),1990,1.602032865
Canada,Agricultural raw materials exports (% of merchandise exports),1990,9.015501479
Canada,Gross savings (% of GDP),1990,17.82406242
Canada,Total natural resources rents (% of GDP),1990,2.892106043
Cayman Islands,Agricultural raw materials imports (% of merchandise imports),1990,0
Cayman Islands,Agricultural raw materials exports (% of merchandise exports),1990,0
Cayman Islands,Gross savings (% of GDP),1990,0
Cayman Islands,Total natural resources rents (% of GDP),1990,0
Central African Republic,Agricultural raw materials imports (% of merchandise imports),1990,0
Central African Republic,Agricultural raw materials exports (% of merchandise exports),1990,0
Central African Republic,Gross savings (% of GDP),1990,10.87964089
Central African Republic,Total natural resources rents (% of GDP),1990,6.365328356
Chad,Agricultural raw materials imports (% of merchandise imports),1990,0
Chad,Agricultural raw materials exports (% of merchandise exports),1990,0
Chad,Gross savings (% of GDP),1990,2.322174491
Chad,Total natural resources rents (% of GDP),1990,7.517348187
Channel Islands,Agricultural raw materials imports (% of merchandise imports),1990,0
Channel Islands,Agricultural raw materials exports (% of merchandise exports),1990,0
Channel Islands,Gross savings (% of GDP),1990,0
Channel Islands,Total natural resources rents (% of GDP),1990,0
Chile,Agricultural raw materials imports (% of merchandise imports),1990,2.172465085
Chile,Agricultural raw materials exports (% of merchandise exports),1990,9.549914845
Chile,Gross savings (% of GDP),1990,23.66556171
Chile,Total natural resources rents (% of GDP),1990,11.16295105
China,Agricultural raw materials imports (% of merchandise imports),1990,0
China,Agricultural raw materials exports (% of merchandise exports),1990,0
China,Gross savings (% of GDP),1990,36.69418976
China,Total natural resources rents (% of GDP),1990,8.258298994
Colombia,Agricultural raw materials imports (% of merchandise imports),1990,0
Colombia,Agricultural raw materials exports (% of merchandise exports),1990,0
Colombia,Gross savings (% of GDP),1990,20.88099902
Colombia,Total natural resources rents (% of GDP),1990,7.00471488
Comoros,Agricultural raw materials imports (% of merchandise imports),1990,0
Comoros,Agricultural raw materials exports (% of merchandise exports),1990,0
Comoros,Gross savings (% of GDP),1990,10.20689139
Comoros,Total natural resources rents (% of GDP),1990,0.733042704
"Congo, Dem. Rep.",Agricultural raw materials imports (% of merchandise imports),1990,0
"Congo, Dem. Rep.",Agricultural raw materials exports (% of merchandise exports),1990,0
"Congo, Dem. Rep.",Gross savings (% of GDP),1990,0
"Congo, Dem. Rep.",Total natural resources rents (% of GDP),1990,20.0484799
"Congo, Rep.",Agricultural raw materials imports (% of merchandise imports),1990,0
"Congo, Rep.",Agricultural raw materials exports (% of merchandise exports),1990,0
"Congo, Rep.",Gross savings (% of GDP),1990,31.77735958
"Congo, Rep.",Total natural resources rents (% of GDP),1990,42.443886
Costa Rica,Agricultural raw materials imports (% of merchandise imports),1990,0
Costa Rica,Agricultural raw materials exports (% of merchandise exports),1990,0
Costa Rica,Gross savings (% of GDP),1990,19.35723104
Costa Rica,Total natural resources rents (% of GDP),1990,3.294598908
Cote d'Ivoire,Agricultural raw materials imports (% of merchandise imports),1990,0
Cote d'Ivoire,Agricultural raw materials exports (% of merchandise exports),1990,0
Cote d'Ivoire,Gross savings (% of GDP),1990,0
Cote d'Ivoire,Total natural resources rents (% of GDP),1990,4.100201592
Croatia,Agricultural raw materials imports (% of merchandise imports),1990,0
Croatia,Agricultural raw materials exports (% of merchandise exports),1990,0
Croatia,Gross savings (% of GDP),1990,0
Croatia,Total natural resources rents (% of GDP),1990,0
Cuba,Agricultural raw materials imports (% of merchandise imports),1990,0
Cuba,Agricultural raw materials exports (% of merchandise exports),1990,0
Cuba,Gross savings (% of GDP),1990,0
Cuba,Total natural resources rents (% of GDP),1990,0.888890988
Curacao,Agricultural raw materials imports (% of merchandise imports),1990,0
Curacao,Agricultural raw materials exports (% of merchandise exports),1990,0
Curacao,Gross savings (% of GDP),1990,0
Curacao,Total natural resources rents (% of GDP),1990,0
Cyprus,Agricultural raw materials imports (% of merchandise imports),1990,1.448345083
Cyprus,Agricultural raw materials exports (% of merchandise exports),1990,0.523754088
Cyprus,Gross savings (% of GDP),1990,23.09605607
Cyprus,Total natural resources rents (% of GDP),1990,0.030395286
Czech Republic,Agricultural raw materials imports (% of merchandise imports),1990,0
Czech Republic,Agricultural raw materials exports (% of merchandise exports),1990,0
Czech Republic,Gross savings (% of GDP),1990,0
Czech Republic,Total natural resources rents (% of GDP),1990,1.427078503
Denmark,Agricultural raw materials imports (% of merchandise imports),1990,3.325872255
Denmark,Agricultural raw materials exports (% of merchandise exports),1990,3.404562751
Denmark,Gross savings (% of GDP),1990,22.65146491
Denmark,Total natural resources rents (% of GDP),1990,0.539644959
Djibouti,Agricultural raw materials imports (% of merchandise imports),1990,0
Djibouti,Agricultural raw materials exports (% of merchandise exports),1990,0
Djibouti,Gross savings (% of GDP),1990,0
Djibouti,Total natural resources rents (% of GDP),1990,0.568218463
Dominica,Agricultural raw materials imports (% of merchandise imports),1990,0
Dominica,Agricultural raw materials exports (% of merchandise exports),1990,0
Dominica,Gross savings (% of GDP),1990,0
Dominica,Total natural resources rents (% of GDP),1990,0.04249052
Dominican Republic,Agricultural raw materials imports (% of merchandise imports),1990,0
Dominican Republic,Agricultural raw materials exports (% of merchandise exports),1990,0
Dominican Republic,Gross savings (% of GDP),1990,16.16219704
Dominican Republic,Total natural resources rents (% of GDP),1990,2.010174588
Ecuador,Agricultural raw materials imports (% of merchandise imports),1990,2.757595955
Ecuador,Agricultural raw materials exports (% of merchandise exports),1990,1.404449679
Ecuador,Gross savings (% of GDP),1990,17.76415116
Ecuador,Total natural resources rents (% of GDP),1990,13.17072735
"Egypt, Arab Rep.",Agricultural raw materials imports (% of merchandise imports),1990,0
"Egypt, Arab Rep.",Agricultural raw materials exports (% of merchandise exports),1990,0
"Egypt, Arab Rep.",Gross savings (% of GDP),1990,31.68412035
"Egypt, Arab Rep.",Total natural resources rents (% of GDP),1990,18.3194663
El Salvador,Agricultural raw materials imports (% of merchandise imports),1990,0
El Salvador,Agricultural raw materials exports (% of merchandise exports),1990,0
El Salvador,Gross savings (% of GDP),1990,11.6372447
El Salvador,Total natural resources rents (% of GDP),1990,0.835429774
Equatorial Guinea,Agricultural raw materials imports (% of merchandise imports),1990,0
Equatorial Guinea,Agricultural raw materials exports (% of merchandise exports),1990,0
Equatorial Guinea,Gross savings (% of GDP),1990,0
Equatorial Guinea,Total natural resources rents (% of GDP),1990,20.98903698
Eritrea,Agricultural raw materials imports (% of merchandise imports),1990,0
Eritrea,Agricultural raw materials exports (% of merchandise exports),1990,0
Eritrea,Gross savings (% of GDP),1990,0
Eritrea,Total natural resources rents (% of GDP),1990,0
Estonia,Agricultural raw materials imports (% of merchandise imports),1990,0
Estonia,Agricultural raw materials exports (% of merchandise exports),1990,0
Estonia,Gross savings (% of GDP),1990,0
Estonia,Total natural resources rents (% of GDP),1990,0
Eswatini,Agricultural raw materials imports (% of merchandise imports),1990,0
Eswatini,Agricultural raw materials exports (% of merchandise exports),1990,0
Eswatini,Gross savings (% of GDP),1990,19.66488426
Eswatini,Total natural resources rents (% of GDP),1990,5.594683013
Ethiopia,Agricultural raw materials imports (% of merchandise imports),1990,0
Ethiopia,Agricultural raw materials exports (% of merchandise exports),1990,0
Ethiopia,Gross savings (% of GDP),1990,0
Ethiopia,Total natural resources rents (% of GDP),1990,11.89886966
Faroe Islands,Agricultural raw materials imports (% of merchandise imports),1990,2.191249079
Faroe Islands,Agricultural raw materials exports (% of merchandise exports),1990,0.900480919
Faroe Islands,Gross savings (% of GDP),1990,0
Faroe Islands,Total natural resources rents (% of GDP),1990,0
Fiji,Agricultural raw materials imports (% of merchandise imports),1990,0.334841824
Fiji,Agricultural raw materials exports (% of merchandise exports),1990,6.029415083
Fiji,Gross savings (% of GDP),1990,5.989344003
Fiji,Total natural resources rents (% of GDP),1990,2.317327853
Finland,Agricultural raw materials imports (% of merchandise imports),1990,2.324402355
Finland,Agricultural raw materials exports (% of merchandise exports),1990,9.6145843
Finland,Gross savings (% of GDP),1990,26.68080247
Finland,Total natural resources rents (% of GDP),1990,0.475621505
France,Agricultural raw materials imports (% of merchandise imports),1990,2.618418807
France,Agricultural raw materials exports (% of merchandise exports),1990,1.86003478
France,Gross savings (% of GDP),1990,23.32729934
France,Total natural resources rents (% of GDP),1990,0.108876817
French Polynesia,Agricultural raw materials imports (% of merchandise imports),1990,0
French Polynesia,Agricultural raw materials exports (% of merchandise exports),1990,0
French Polynesia,Gross savings (% of GDP),1990,0
French Polynesia,Total natural resources rents (% of GDP),1990,0.000815747
Gabon,Agricultural raw materials imports (% of merchandise imports),1990,0
Gabon,Agricultural raw materials exports (% of merchandise exports),1990,0
Gabon,Gross savings (% of GDP),1990,24.25212884
Gabon,Total natural resources rents (% of GDP),1990,32.36534629
"Gambia, The",Agricultural raw materials imports (% of merchandise imports),1990,0
"Gambia, The",Agricultural raw materials exports (% of merchandise exports),1990,0
"Gambia, The",Gross savings (% of GDP),1990,21.85367645
"Gambia, The",Total natural resources rents (% of GDP),1990,4.354325011
Georgia,Agricultural raw materials imports (% of merchandise imports),1990,0
Georgia,Agricultural raw materials exports (% of merchandise exports),1990,0
Georgia,Gross savings (% of GDP),1990,0
Georgia,Total natural resources rents (% of GDP),1990,0.508697907
Germany,Agricultural raw materials imports (% of merchandise imports),1990,3.145564258
Germany,Agricultural raw materials exports (% of merchandise exports),1990,1.106875852
Germany,Gross savings (% of GDP),1990,24.40255624
Germany,Total natural resources rents (% of GDP),1990,0.234098237
Ghana,Agricultural raw materials imports (% of merchandise imports),1990,0
Ghana,Agricultural raw materials exports (% of merchandise exports),1990,0
Ghana,Gross savings (% of GDP),1990,10.53332342
Ghana,Total natural resources rents (% of GDP),1990,6.847377956
Gibraltar,Agricultural raw materials imports (% of merchandise imports),1990,0
Gibraltar,Agricultural raw materials exports (% of merchandise exports),1990,0
Gibraltar,Gross savings (% of GDP),1990,0
Gibraltar,Total natural resources rents (% of GDP),1990,0
Greece,Agricultural raw materials imports (% of merchandise imports),1990,3.468755554
Greece,Agricultural raw materials exports (% of merchandise exports),1990,2.556084492
Greece,Gross savings (% of GDP),1990,0
Greece,Total natural resources rents (% of GDP),1990,0.242412175
Greenland,Agricultural raw materials imports (% of merchandise imports),1990,0.934225013
Greenland,Agricultural raw materials exports (% of merchandise exports),1990,0.109356177
Greenland,Gross savings (% of GDP),1990,0
Greenland,Total natural resources rents (% of GDP),1990,7.249071588
Grenada,Agricultural raw materials imports (% of merchandise imports),1990,0
Grenada,Agricultural raw materials exports (% of merchandise exports),1990,0
Grenada,Gross savings (% of GDP),1990,0
Grenada,Total natural resources rents (% of GDP),1990,0
Guam,Agricultural raw materials imports (% of merchandise imports),1990,0
Guam,Agricultural raw materials exports (% of merchandise exports),1990,0
Guam,Gross savings (% of GDP),1990,0
Guam,Total natural resources rents (% of GDP),1990,0
Guatemala,Agricultural raw materials imports (% of merchandise imports),1990,0
Guatemala,Agricultural raw materials exports (% of merchandise exports),1990,0
Guatemala,Gross savings (% of GDP),1990,10.19731534
Guatemala,Total natural resources rents (% of GDP),1990,1.867087045
Guinea,Agricultural raw materials imports (% of merchandise imports),1990,0
Guinea,Agricultural raw materials exports (% of merchandise exports),1990,0
Guinea,Gross savings (% of GDP),1990,19.20970353
Guinea,Total natural resources rents (% of GDP),1990,22.11495951
Guinea-Bissau,Agricultural raw materials imports (% of merchandise imports),1990,0
Guinea-Bissau,Agricultural raw materials exports (% of merchandise exports),1990,0
Guinea-Bissau,Gross savings (% of GDP),1990,14.47664337
Guinea-Bissau,Total natural resources rents (% of GDP),1990,18.08760891
Guyana,Agricultural raw materials imports (% of merchandise imports),1990,0
Guyana,Agricultural raw materials exports (% of merchandise exports),1990,0
Guyana,Gross savings (% of GDP),1990,0
Guyana,Total natural resources rents (% of GDP),1990,23.13653029
Haiti,Agricultural raw materials imports (% of merchandise imports),1990,0
Haiti,Agricultural raw materials exports (% of merchandise exports),1990,0.540354138
Haiti,Gross savings (% of GDP),1990,2.967810054
Haiti,Total natural resources rents (% of GDP),1990,0.75898065
Honduras,Agricultural raw materials imports (% of merchandise imports),1990,0
Honduras,Agricultural raw materials exports (% of merchandise exports),1990,0
Honduras,Gross savings (% of GDP),1990,13.73512902
Honduras,Total natural resources rents (% of GDP),1990,3.212887446
"Hong Kong SAR, China",Agricultural raw materials imports (% of merchandise imports),1990,0
"Hong Kong SAR, China",Agricultural raw materials exports (% of merchandise exports),1990,0
"Hong Kong SAR, China",Gross savings (% of GDP),1990,0
"Hong Kong SAR, China",Total natural resources rents (% of GDP),1990,0.001079157
Hungary,Agricultural raw materials imports (% of merchandise imports),1990,0
Hungary,Agricultural raw materials exports (% of merchandise exports),1990,0
Hungary,Gross savings (% of GDP),1990,0
Hungary,Total natural resources rents (% of GDP),1990,0
Iceland,Agricultural raw materials imports (% of merchandise imports),1990,1.746410995
Iceland,Agricultural raw materials exports (% of merchandise exports),1990,0.534821962
Iceland,Gross savings (% of GDP),1990,19.75115837
Iceland,Total natural resources rents (% of GDP),1990,0
India,Agricultural raw materials imports (% of merchandise imports),1990,3.990425576
India,Agricultural raw materials exports (% of merchandise exports),1990,4.050730741
India,Gross savings (% of GDP),1990,21.21356324
India,Total natural resources rents (% of GDP),1990,3.374451148
Indonesia,Agricultural raw materials imports (% of merchandise imports),1990,4.684031291
Indonesia,Agricultural raw materials exports (% of merchandise exports),1990,5.065645461
Indonesia,Gross savings (% of GDP),1990,22.45364177
Indonesia,Total natural resources rents (% of GDP),1990,12.27483802
Iraq,Agricultural raw materials imports (% of merchandise imports),1990,0
Iraq,Agricultural raw materials exports (% of merchandise exports),1990,0
Iraq,Gross savings (% of GDP),1990,0
Iraq,Total natural resources rents (% of GDP),1990,9.873071114
Ireland,Agricultural raw materials imports (% of merchandise imports),1990,1.806987596
Ireland,Agricultural raw materials exports (% of merchandise exports),1990,1.651945153
Ireland,Gross savings (% of GDP),1990,0
Ireland,Total natural resources rents (% of GDP),1990,0.327251462
Isle of Man,Agricultural raw materials imports (% of merchandise imports),1990,0
Isle of Man,Agricultural raw materials exports (% of merchandise exports),1990,0
Isle of Man,Gross savings (% of GDP),1990,0
Isle of Man,Total natural resources rents (% of GDP),1990,0
Israel,Agricultural raw materials imports (% of merchandise imports),1990,2.398416629
Israel,Agricultural raw materials exports (% of merchandise exports),1990,2.533184113
Israel,Gross savings (% of GDP),1990,0
Israel,Total natural resources rents (% of GDP),1990,0.008286926
Italy,Agricultural raw materials imports (% of merchandise imports),1990,5.41024797
Italy,Agricultural raw materials exports (% of merchandise exports),1990,0.724057495
Italy,Gross savings (% of GDP),1990,21.10747302
Italy,Total natural resources rents (% of GDP),1990,0.086444002
Jamaica,Agricultural raw materials imports (% of merchandise imports),1990,0
Jamaica,Agricultural raw materials exports (% of merchandise exports),1990,0
Jamaica,Gross savings (% of GDP),1990,19.04193947
Jamaica,Total natural resources rents (% of GDP),1990,6.335396123
Japan,Agricultural raw materials imports (% of merchandise imports),1990,7.073277914
Japan,Agricultural raw materials exports (% of merchandise exports),1990,0.554638393
Japan,Gross savings (% of GDP),1990,0
Japan,Total natural resources rents (% of GDP),1990,0.035565204
Jordan,Agricultural raw materials imports (% of merchandise imports),1990,1.431939814
Jordan,Agricultural raw materials exports (% of merchandise exports),1990,0.444642259
Jordan,Gross savings (% of GDP),1990,20.96693931
Jordan,Total natural resources rents (% of GDP),1990,0.144936129
Kazakhstan,Agricultural raw materials imports (% of merchandise imports),1990,0
Kazakhstan,Agricultural raw materials exports (% of merchandise exports),1990,0
Kazakhstan,Gross savings (% of GDP),1990,0
Kazakhstan,Total natural resources rents (% of GDP),1990,15.67923197
Kenya,Agricultural raw materials imports (% of merchandise imports),1990,2.865020719
Kenya,Agricultural raw materials exports (% of merchandise exports),1990,5.587722835
Kenya,Gross savings (% of GDP),1990,18.99172983
Kenya,Total natural resources rents (% of GDP),1990,4.963898607
Kiribati,Agricultural raw materials imports (% of merchandise imports),1990,2.553233655
Kiribati,Agricultural raw materials exports (% of merchandise exports),1990,24.03894285
Kiribati,Gross savings (% of GDP),1990,53.90667103
Kiribati,Total natural resources rents (% of GDP),1990,0.039813574
"Korea, Dem. People's Rep.",Agricultural raw materials imports (% of merchandise imports),1990,0
"Korea, Dem. People's Rep.",Agricultural raw materials exports (% of merchandise exports),1990,0
"Korea, Dem. People's Rep.",Gross savings (% of GDP),1990,0
"Korea, Dem. People's Rep.",Total natural resources rents (% of GDP),1990,0
"Korea, Rep.",Agricultural raw materials imports (% of merchandise imports),1990,8.045812985
"Korea, Rep.",Agricultural raw materials exports (% of merchandise exports),1990,1.266075407
"Korea, Rep.",Gross savings (% of GDP),1990,39.02619049
"Korea, Rep.",Total natural resources rents (% of GDP),1990,0.070009432
Kosovo,Agricultural raw materials imports (% of merchandise imports),1990,0
Kosovo,Agricultural raw materials exports (% of merchandise exports),1990,0
Kosovo,Gross savings (% of GDP),1990,0
Kosovo,Total natural resources rents (% of GDP),1990,0
Kuwait,Agricultural raw materials imports (% of merchandise imports),1990,0.844918449
Kuwait,Agricultural raw materials exports (% of merchandise exports),1990,0.084161012
Kuwait,Gross savings (% of GDP),1990,19.68368411
Kuwait,Total natural resources rents (% of GDP),1990,55.61264708
Kyrgyz Republic,Agricultural raw materials imports (% of merchandise imports),1990,0
Kyrgyz Republic,Agricultural raw materials exports (% of merchandise exports),1990,0
Kyrgyz Republic,Gross savings (% of GDP),1990,0
Kyrgyz Republic,Total natural resources rents (% of GDP),1990,1.058209044
Lao PDR,Agricultural raw materials imports (% of merchandise imports),1990,0
Lao PDR,Agricultural raw materials exports (% of merchandise exports),1990,0
Lao PDR,Gross savings (% of GDP),1990,0
Lao PDR,Total natural resources rents (% of GDP),1990,6.874068955
Latvia,Agricultural raw materials imports (% of merchandise imports),1990,0
Latvia,Agricultural raw materials exports (% of merchandise exports),1990,0
Latvia,Gross savings (% of GDP),1990,0
Latvia,Total natural resources rents (% of GDP),1990,0
Lebanon,Agricultural raw materials imports (% of merchandise imports),1990,0
Lebanon,Agricultural raw materials exports (% of merchandise exports),1990,0
Lebanon,Gross savings (% of GDP),1990,0
Lebanon,Total natural resources rents (% of GDP),1990,0.036039336
Lesotho,Agricultural raw materials imports (% of merchandise imports),1990,0
Lesotho,Agricultural raw materials exports (% of merchandise exports),1990,0
Lesotho,Gross savings (% of GDP),1990,0
Lesotho,Total natural resources rents (% of GDP),1990,3.901696591
Liberia,Agricultural raw materials imports (% of merchandise imports),1990,0
Liberia,Agricultural raw materials exports (% of merchandise exports),1990,0
Liberia,Gross savings (% of GDP),1990,0
Liberia,Total natural resources rents (% of GDP),1990,0
Libya,Agricultural raw materials imports (% of merchandise imports),1990,0
Libya,Agricultural raw materials exports (% of merchandise exports),1990,0
Libya,Gross savings (% of GDP),1990,0
Libya,Total natural resources rents (% of GDP),1990,41.58130056
Liechtenstein,Agricultural raw materials imports (% of merchandise imports),1990,0
Liechtenstein,Agricultural raw materials exports (% of merchandise exports),1990,0
Liechtenstein,Gross savings (% of GDP),1990,0
Liechtenstein,Total natural resources rents (% of GDP),1990,0
