,Country Name,Country Code,year,agriculturalLand,agriculturalGDP
155,East Asia & Pacific (IDA & IBRD countries),TEA,1963,36.27702094,43.38858167
156,Togo,TGO,1963,56.4441993,51.85181137
157,Thailand,THA,1963,24.38881168,33.06552313
158,South Asia (IDA & IBRD),TSA,1963,55.50716939,41.35440374
159,Turkey,TUR,1963,48.55579954,53.32618026
160,Uganda,UGA,1963,46.33401732,47.51292127
161,South Africa,ZAF,1963,81.60565168,10.38478681
162,Zambia,ZMB,1963,26.10204603,13.01928046
163,Benin,BEN,1964,13.32032636,45.52815226
164,Burkina Faso,BFA,1964,29.85745614,38.68111026
165,Bangladesh,BGD,1964,73.13513098,53.35683665
166,Brazil,BRA,1964,20.10973733,16.025741
167,Botswana,BWA,1964,45.87722549,38.57224696
168,Chile,CHL,1964,18.69186531,8.560548363
169,China,CHN,1964,37.3174743,38.02979795
170,Cote d'Ivoire,CIV,1964,50.25157233,39.80135978
171,"Congo, Rep.",COG,1964,30.87262079,21.10970788
172,Costa Rica,CRI,1964,29.08343126,24.56903447
173,East Asia & Pacific (excluding high income),EAP,1964,36.37480974,41.78024493
174,East Asia & Pacific,EAS,1964,44.56182733,27.08261027
175,Ecuador,ECU,1964,17.04955931,31.83585662
176,"Egypt, Arab Rep.",EGY,1964,2.517454418,23.1990232
177,Fiji,FJI,1964,12.47947455,33.00359712
178,France,FRA,1964,62.2920342,7.98671472
179,Gabon,GAB,1964,20.3360888,30.18042888
180,Ghana,GHA,1964,51.41953063,35.35598706
181,Guyana,GUY,1964,6.908647247,21.95268044
182,Honduras,HND,1964,26.81204755,34.48577681
183,IBRD only,IBD,1964,35.23346456,29.02619776
184,IDA & IBRD total,IBT,1964,35.29915635,31.27652851
185,India,IND,1964,59.43515214,41.18773833
186,"Iran, Islamic Rep.",IRN,1964,36.47560107,20.7660665
187,Kenya,KEN,1964,44.30368626,36.83208018
188,"Korea, Rep.",KOR,1964,22.71407837,46.52687649
189,Sri Lanka,LKA,1964,33.53532132,30.96238539
190,Low & middle income,LMY,1964,35.35844736,32.47380211
191,Lesotho,LSO,1964,84.914361,81.71428571
192,Middle income,MIC,1964,35.07526888,32.30882135
193,Mauritania,MRT,1964,38.34578442,26.8614727
194,Malawi,MWI,1964,36.06279168,48.09489576
195,Malaysia,MYS,1964,10.1598539,33.27378405
196,Niger,NER,1964,24.86776664,74.3240386
197,Oman,OMN,1964,3.34733441,60.18099548
198,Pakistan,PAK,1964,47.16038813,38.3240539
199,Peru,PER,1964,13.803125,16.50746863
200,Philippines,PHL,1964,27.33185811,23.75972784
201,Papua New Guinea,PNG,1964,1.11513492,42.55319149
202,Puerto Rico,PRI,1964,65.95264938,7.453802762
203,Paraguay,PRY,1964,27.11301284,37.57482702
204,South Asia,SAS,1964,55.75215703,42.45650138
205,Senegal,SEN,1964,45.43188075,23.72780335
206,Singapore,SGP,1964,19.40298507,3.331871986
207,Sierra Leone,SLE,1964,36.42283181,34.83705024
208,Somalia,SOM,1964,70.009883,64.51359142
209,Suriname,SUR,1964,0.294871795,9.040178571
210,Eswatini,SWZ,1964,85.87209302,36.84177642
211,Chad,TCD,1964,38.01587302,36.59102185
212,East Asia & Pacific (IDA & IBRD countries),TEA,1964,36.50127268,41.71175762
213,Togo,TGO,1964,56.4441993,48.89430678
214,Thailand,THA,1964,24.83900644,30.63419929
215,South Asia (IDA & IBRD),TSA,1964,55.75215703,42.45650138
216,Turkey,TUR,1964,48.45445214,50.49701789
217,Uganda,UGA,1964,49.41194134,47.24339811
218,South Africa,ZAF,1964,80.57934696,9.001349528
219,Zambia,ZMB,1964,26.17603142,11.98093941
220,Argentina,ARG,1965,48.15306081,12.90416299
221,Benin,BEN,1965,13.49769422,44.61942503
222,Burkina Faso,BFA,1965,29.89400585,35.41478443
223,Bangladesh,BGD,1965,74.0339556,52.81869477
224,Brazil,BRA,1965,20.55325706,16.17305804
225,Botswana,BWA,1965,45.87899,33.84146341
226,Chile,CHL,1965,18.92184869,8.847345253
227,China,CHN,1965,37.72098847,37.54901961
228,Cote d'Ivoire,CIV,1965,50.56603774,39.6184607
229,Cameroon,CMR,1965,16.37367519,32.73182909
230,"Congo, Rep.",COG,1965,30.87262079,19.13580059
231,Colombia,COL,1965,38.76340694,27.28640391
232,Costa Rica,CRI,1965,30.45436741,23.52042645
233,Dominican Republic,DOM,1965,46.57420824,23.24062606
234,East Asia & Pacific (excluding high income),EAP,1965,36.63496034,41.54514284
235,Early-demographic dividend,EAR,1965,35.89921568,28.73562447
236,East Asia & Pacific,EAS,1965,44.90999648,27.52529036
237,Ecuador,ECU,1965,17.08568126,31.31307882
238,"Egypt, Arab Rep.",EGY,1965,2.68421317,25.69410726
239,Fiji,FJI,1965,12.20580186,30.30821918
240,France,FRA,1965,62.0947977,7.787024679
241,Gabon,GAB,1965,20.39430279,26.30630631
242,Ghana,GHA,1965,51.41953063,43.51978172
243,Guatemala,GTM,1965,25.1399776,28.73376361
244,Guyana,GUY,1965,6.908647247,21.57241379
245,Honduras,HND,1965,26.85673429,36.43959501
246,IBRD only,IBD,1965,35.38983268,28.36055293
247,IDA & IBRD total,IBT,1965,35.45930839,30.59775281
248,India,IND,1965,59.59154982,38.95214348
249,"Iran, Islamic Rep.",IRN,1965,36.51243891,18.59561661
250,Jordan,JOR,1965,12.37533998,14.14565826
251,Kenya,KEN,1965,44.31247145,32.41863985
252,"Korea, Rep.",KOR,1965,23.61600663,37.52991977
253,Latin America & Caribbean (excluding high income),LAC,1965,29.16581474,16.43446955
254,Latin America & Caribbean,LCN,1965,29.01854996,14.90402433
255,Sri Lanka,LKA,1965,34.38048158,28.56488687
256,Low & middle income,LMY,1965,35.52068288,31.63778078
257,Lesotho,LSO,1965,84.914361,79.28622449
258,Morocco,MAR,1965,54.71165479,23.44504021
259,Mexico,MEX,1965,50.40201651,13.14923077
260,Middle income,MIC,1965,35.27040771,31.53068562
261,Mauritania,MRT,1965,38.34578442,24.89817368
262,Malawi,MWI,1965,38.21595248,47.95607077
263,Malaysia,MYS,1965,10.64477249,31.00663757
264,Niger,NER,1965,24.86776664,67.70391961
265,Nepal,NPL,1965,24.84615385,64.58407648
266,Oman,OMN,1965,3.34733441,60.61946903
267,Pakistan,PAK,1965,48.30194064,36.96830175
268,Peru,PER,1965,13.8671875,16.07628123
269,Philippines,PHL,1965,27.26480252,24.26698616
270,Papua New Guinea,PNG,1965,1.11513492,41.58802473
271,Puerto Rico,PRI,1965,68.6583991,6.153045289
272,Paraguay,PRY,1965,27.42260257,36.70829457
273,Rwanda,RWA,1965,54.92501013,74.7917036
274,South Asia,SAS,1965,56.06974135,40.16644722
275,Senegal,SEN,1965,45.95128032,24.98596676
276,Singapore,SGP,1965,19.40298507,3.070116638
277,Sierra Leone,SLE,1965,36.49210308,31.04791586
278,El Salvador,SLV,1965,60.43165468,41.37538167
279,Somalia,SOM,1965,70.01785316,63.43845254
280,Suriname,SUR,1965,0.301282051,9.211806682
281,Eswatini,SWZ,1965,86.27906977,33.06772908
282,Chad,TCD,1965,38.01587302,35.84345212
283,East Asia & Pacific (IDA & IBRD countries),TEA,1965,36.76340957,41.47704091
284,Togo,TGO,1965,56.53612796,44.66232181
285,Thailand,THA,1965,25.32834857,31.92324563
286,Latin America & the Caribbean (IDA & IBRD countries),TLA,1965,28.94421035,15.21514513
287,South Asia (IDA & IBRD),TSA,1965,56.06974135,40.16644722
288,Tunisia,TUN,1965,55.66426365,20.79569479
289,Turkey,TUR,1965,48.45964944,46.14670381
290,Uganda,UGA,1965,49.40193184,49.06616018
291,South Africa,ZAF,1965,79.63959805,8.757411067
292,Zambia,ZMB,1965,26.24867163,14.31398417
293,Zimbabwe,ZWE,1965,29.22321313,18.76438023
294,Argentina,ARG,1966,47.84904392,10.27875747
295,Benin,BEN,1966,13.76374601,45.14781983
296,Burkina Faso,BFA,1966,29.93421053,36.26719737
297,Bangladesh,BGD,1966,74.133825,53.94737058
298,Brazil,BRA,1966,20.99677679,12.74068708
299,Botswana,BWA,1966,45.87899,39.29539295
300,Chile,CHL,1966,19.1491422,9.265601218
301,China,CHN,1966,38.1032818,37.17901202
302,Cote d'Ivoire,CIV,1966,50.56603774,37.44038089
303,Cameroon,CMR,1966,16.50060291,31.85079416
304,"Congo, Rep.",COG,1966,30.87262079,19.18819188
305,Colombia,COL,1966,38.77422262,26.60844648
306,Costa Rica,CRI,1966,32.02115159,23.1811409
307,Denmark,DNK,1966,71.44205806,6.689240852
308,Dominican Republic,DOM,1966,46.88470296,21.91279602
309,East Asia & Pacific (excluding high income),EAP,1966,36.88618333,41.34351345
310,Early-demographic dividend,EAR,1966,35.89912254,27.22158412
311,East Asia & Pacific,EAS,1966,45.10178756,26.85410514
312,Ecuador,ECU,1966,17.08568126,28.03374593
313,"Egypt, Arab Rep.",EGY,1966,2.792706816,24.88447225
314,Fiji,FJI,1966,12.20580186,29.0726817
315,France,FRA,1966,61.81172681,7.593026344
316,Gabon,GAB,1966,20.45251679,25.16556708
317,Ghana,GHA,1966,51.41953063,43.28063241
318,"Gambia, The",GMB,1966,52.27272727,32.23559215
319,Guatemala,GTM,1966,25.25195969,28.51248292
320,Guyana,GUY,1966,6.934065375,19.08436214
321,Honduras,HND,1966,26.94610778,36.16692427
322,IBRD only,IBD,1966,35.55311019,26.96103327
323,IDA & IBRD total,IBT,1966,35.5427911,29.19586683
324,India,IND,1966,59.71027751,40.02544761
325,"Iran, Islamic Rep.",IRN,1966,36.51857855,17.44181878
326,Jordan,JOR,1966,12.39800544,10.04255319
327,Kenya,KEN,1966,44.32125663,34.70785829
328,"Korea, Rep.",KOR,1966,23.99958532,34.39548998
329,Latin America & Caribbean (excluding high income),LAC,1966,29.33398819,14.199599
330,Latin America & Caribbean,LCN,1966,29.17913172,13.05731816
331,Sri Lanka,LKA,1966,35.16185616,28.68265285
332,Low & middle income,LMY,1966,35.60327839,30.20274834
333,Lesotho,LSO,1966,85.07905138,55.35432099
334,Morocco,MAR,1966,55.42411614,21.0016488
335,Madagascar,MDG,1966,60.64931045,22.67536052
336,Mexico,MEX,1966,50.36857944,12.09305921
337,Middle income,MIC,1966,35.37751369,30.17213729
338,Mauritania,MRT,1966,38.34578442,24.95415673
339,Malawi,MWI,1966,38.74628765,45.91397849
340,Malaysia,MYS,1966,10.67761376,31.54123558
341,Niger,NER,1966,24.86776664,66.87473439
342,Nepal,NPL,1966,24.84615385,68.69300568
343,Oman,OMN,1966,3.34733441,58.67768595
344,Pakistan,PAK,1966,48.53544002,33.83689668
345,Peru,PER,1966,13.80859375,16.15678714
346,Philippines,PHL,1966,27.25809696,24.24955486
347,Papua New Guinea,PNG,1966,1.128384048,41.33486107
348,Puerto Rico,PRI,1966,65.50169109,5.393471061
349,Paraguay,PRY,1966,27.73722628,35.68362236
350,Rwanda,RWA,1966,55.33036076,74.86692042
351,South Asia,SAS,1966,56.20259118,40.80924884
352,Senegal,SEN,1966,45.95128032,25.54105973
353,Singapore,SGP,1966,19.40298507,3.271362174
354,Sierra Leone,SLE,1966,36.56137434,30.96569724
355,El Salvador,SLV,1966,59.95203837,38.68663396
356,Somalia,SOM,1966,70.02582332,61.86902002
357,Suriname,SUR,1966,0.282051282,8.247964276
358,Eswatini,SWZ,1966,86.80232558,35.70127505
359,Chad,TCD,1966,38.01587302,36.55659189
360,East Asia & Pacific (IDA & IBRD countries),TEA,1966,37.01654457,41.27574204
361,Togo,TGO,1966,56.53612796,43.87946262
362,Thailand,THA,1966,25.85683807,33.40020742
363,Latin America & the Caribbean (IDA & IBRD countries),TLA,1966,29.10903676,13.33069625
364,South Asia (IDA & IBRD),TSA,1966,56.20259118,40.80924884
365,Trinidad and Tobago,TTO,1966,19.10331384,6.705891835
366,Tunisia,TUN,1966,55.52909372,17.85910339
367,Turkey,TUR,1966,48.70392266,47.20252167
368,Uganda,UGA,1966,49.4719984,48.0332829
369,South Africa,ZAF,1966,79.50358176,9.053824363
370,Zambia,ZMB,1966,26.37511939,13.44632768
371,Zimbabwe,ZWE,1966,29.49463616,21.12671782
372,Argentina,ARG,1967,47.39411479,9.980386317
373,Benin,BEN,1967,14.11848173,42.0810132
374,Burkina Faso,BFA,1967,29.97076023,33.41198115
375,Bangladesh,BGD,1967,74.47952677,55.85247837
376,Brazil,BRA,1967,21.44029653,12.80607129
377,Botswana,BWA,1967,45.87899,41.2608949
378,Chile,CHL,1967,19.44502725,8.606845622
379,China,CHN,1967,38.48557514,39.80604169
380,Cote d'Ivoire,CIV,1967,50.78616352,34.75976223
381,Cameroon,CMR,1967,16.64868524,31.13330046
382,"Congo, Rep.",COG,1967,30.87262079,19.8630171
383,Colombia,COL,1967,38.77692654,26.89221812
384,Costa Rica,CRI,1967,32.04073639,23.20075912
385,Denmark,DNK,1967,71.34765164,5.754939159
386,Dominican Republic,DOM,1967,47.19519768,20.33243139
387,East Asia & Pacific (excluding high income),EAP,1967,37.14835272,43.31353378
388,Early-demographic dividend,EAR,1967,35.88990204,28.36458395
389,East Asia & Pacific,EAS,1967,45.37674442,25.28698961
390,Ecuador,ECU,1967,17.12180321,28.40553806
391,"Egypt, Arab Rep.",EGY,1967,2.813802803,24.15575193
392,Fiji,FJI,1967,12.09633279,26.52905199
393,France,FRA,1967,61.41542755,7.566028254
394,Gabon,GAB,1967,20.31668413,24.10181138
395,Ghana,GHA,1967,51.41953063,40.22606383
396,"Gambia, The",GMB,1967,52.47035573,32.26371062
397,Guatemala,GTM,1967,25.45726017,27.41318197
398,Guyana,GUY,1967,6.934065375,18.8337644
399,Honduras,HND,1967,27.03548128,35.37033941
400,IBRD only,IBD,1967,35.69971462,27.84013208
401,IDA & IBRD total,IBT,1967,35.68145155,30.25912801
402,India,IND,1967,59.80344344,42.76762174
403,"Iran, Islamic Rep.",IRN,1967,36.56155603,16.51588614
404,Jordan,JOR,1967,12.43200363,15.7358156
405,Kenya,KEN,1967,44.33004182,33.65742844
406,"Korea, Rep.",KOR,1967,24.21729214,30.20812716
407,Latin America & Caribbean (excluding high income),LAC,1967,29.48215405,14.23510873
408,Latin America & Caribbean,LCN,1967,29.32446744,13.0049282
409,Sri Lanka,LKA,1967,35.95917716,30.0772318
410,Low & middle income,LMY,1967,35.74583219,31.31529201
411,Lesotho,LSO,1967,85.07905138,46.04016064
412,Morocco,MAR,1967,55.87220505,21.7371562
413,Madagascar,MDG,1967,60.69229976,22.85432911
414,Mexico,MEX,1967,50.3299982,11.74623494
415,Middle income,MIC,1967,35.54593173,31.2310977
416,Mali,MLI,1967,26.00250781,61.71761609
417,Mauritania,MRT,1967,38.34578442,25.08642725
418,Malawi,MWI,1967,38.23716589,44.0122825
419,Malaysia,MYS,1967,10.87103942,31.59812334
420,Niger,NER,1967,24.86776664,70.70632571
421,Nepal,NPL,1967,24.94405594,66.23538322
422,Oman,OMN,1967,3.353796446,36.8556701
423,Pakistan,PAK,1967,48.60678705,35.05317054
424,Peru,PER,1967,13.815625,16.83248019
425,Philippines,PHL,1967,27.84483337,24.43063987
426,Papua New Guinea,PNG,1967,1.227752506,41.96246401
427,Puerto Rico,PRI,1967,64.03607666,4.812183316
428,Paraguay,PRY,1967,27.99144224,32.89624176
429,Rwanda,RWA,1967,55.73571139,65.8510862
430,South Asia,SAS,1967,56.30866183,43.05900514
431,Senegal,SEN,1967,46.47067989,23.38996241
432,Singapore,SGP,1967,19.40298507,3.044935223
433,Sierra Leone,SLE,1967,36.63064561,34.22406968
434,El Salvador,SLV,1967,59.52038369,38.50440484
435,Somalia,SOM,1967,70.03379348,59.63529527
436,Suriname,SUR,1967,0.275641026,7.816039873
437,Eswatini,SWZ,1967,87.03488372,27.52808989
438,Chad,TCD,1967,38.01587302,39.90451336
439,East Asia & Pacific (IDA & IBRD countries),TEA,1967,37.28070929,43.24253306
440,Togo,TGO,1967,56.53612796,44.21052691
441,Thailand,THA,1967,26.3461802,29.24377633
442,Latin America & the Caribbean (IDA & IBRD countries),TLA,1967,29.25044549,13.31679672
443,South Asia (IDA & IBRD),TSA,1967,56.30866183,43.05900514
444,Trinidad and Tobago,TTO,1967,19.10331384,6.470854727
445,Tunisia,TUN,1967,55.39392379,16.29824561
446,Turkey,TUR,1967,48.46484674,44.53125
447,Uganda,UGA,1967,49.48701266,45.83876104
448,South Africa,ZAF,1967,79.28513136,9.968499136
449,Zambia,ZMB,1967,26.44775959,12.84461153
450,Zimbabwe,ZWE,1967,29.71435957,21.85706248
451,Arab World,ARB,1968,27.94502864,14.51176266
452,Argentina,ARG,1968,47.22310528,9.721276985
453,Benin,BEN,1968,14.38453352,38.868069
454,Burkina Faso,BFA,1968,30.00730994,31.59393267
455,Bangladesh,BGD,1968,74.27978797,53.55573997
456,Brazil,BRA,1968,21.88381626,11.80744333
457,Botswana,BWA,1968,45.87899,43.68421053
458,Chile,CHL,1968,19.74091229,7.676366097
459,China,CHN,1968,38.86733795,41.6432544
460,Cote d'Ivoire,CIV,1968,50.78616352,35.56115871
461,Cameroon,CMR,1968,16.75445834,31.5057857
462,"Congo, Rep.",COG,1968,30.87262079,19.61414791
463,Colombia,COL,1968,38.77872916,26.85938498
464,Costa Rica,CRI,1968,33.60752056,23.27813259
465,Denmark,DNK,1968,71.20604201,5.404248699
466,Dominican Republic,DOM,1968,47.40219416,20.32249096
467,East Asia & Pacific (excluding high income),EAP,1968,37.39605739,44.05980138
468,Early-demographic dividend,EAR,1968,35.90067481,27.14620211
469,East Asia & Pacific,EAS,1968,46.51856527,23.78848855
470,Ecuador,ECU,1968,17.10374223,29.28189425
471,"Egypt, Arab Rep.",EGY,1968,2.813802803,25.38007089
472,Fiji,FJI,1968,11.98686371,26.40603567
473,France,FRA,1968,60.59178254,7.322666175
474,Gabon,GAB,1968,20.37489813,18.38133926
475,Ghana,GHA,1968,51.41953063,41.76470588
476,"Gambia, The",GMB,1968,52.47035573,32.24489796
477,Guatemala,GTM,1968,25.56924225,27.92737038
478,Guyana,GUY,1968,6.944232627,17.36670294
479,Honduras,HND,1968,27.08016802,34.63203463
480,IBRD only,IBD,1968,35.87999518,27.15958591
481,IDA & IBRD total,IBT,1968,35.82050524,29.51821248
482,India,IND,1968,59.99078431,41.63355064
483,"Iran, Islamic Rep.",IRN,1968,36.59225423,15.85361437
484,Iraq,IRQ,1968,20.54324714,16.23006283
485,Jordan,JOR,1968,12.45466908,9.680638723
486,Kenya,KEN,1968,44.338827,31.70570223
487,"Korea, Rep.",KOR,1968,24.28986108,28.15937149
488,Latin America & Caribbean (excluding high income),LAC,1968,29.68069519,13.53723834
489,Latin America & Caribbean,LCN,1968,29.51439536,12.33889043
490,Sri Lanka,LKA,1968,37.01164089,31.62786977
491,Low & middle income,LMY,1968,35.88798991,30.56200014
492,Lesotho,LSO,1968,83.43214756,46.4354067
493,Morocco,MAR,1968,56.5443384,22.42222893
494,Madagascar,MDG,1968,60.73528906,21.87002535
495,Mexico,MEX,1968,50.29398904,10.92079019
496,Middle income,MIC,1968,35.70230283,30.5034536
497,Mali,MLI,1968,26.00250781,57.89334897
498,Mauritania,MRT,1968,38.34578442,23.83589783
499,Malawi,MWI,1968,39.31904964,42.38864415
500,Malaysia,MYS,1968,11.26251712,31.33851103
501,Niger,NER,1968,25.40222626,69.16820718
502,Nepal,NPL,1968,24.94405594,67.39160414
