,Country Name,Country Code,year,totalNaturalResourcesRents,grossSavings,imports,exports
63,Sweden,SWE,1974,1.119216421,25.8109946,2.253945103,14.74931663
64,Togo,TGO,1974,21.36535391,60.37381951,1.616310437,0.828583537
65,Turkey,TUR,1974,1.135165193,32.12709485,3.304928789,18.78867676
66,United States,USA,1974,3.25154273,22.68342261,3.552048353,5.121796712
67,"Venezuela, RB",VEN,1974,35.95015871,39.20166794,3.522050628,0.030972097
68,South Africa,ZAF,1974,4.691158385,31.92309519,4.361445523,7.977387388
69,Brazil,BRA,1975,2.118265281,20.62243127,1.497433072,3.891622159
70,Canada,CAN,1975,4.653992791,21.18136154,1.901410239,9.576181202
71,Chile,CHL,1975,13.25213806,7.559587755,2.521146862,6.797466725
72,Colombia,COL,1975,4.881273149,16.70735599,4.205099168,6.976468584
73,Germany,DEU,1975,0.740318837,20.020196,4.333882875,1.279350796
74,Denmark,DNK,1975,0.05885608,21.21543673,3.631395743,4.108024346
75,Dominican Republic,DOM,1975,2.167331197,22.19011577,2.291110427,0.078783272
76,Europe & Central Asia,ECS,1975,0.526533432,23.3658651,4.388017019,3.073693925
77,Euro area,EMU,1975,0.478466949,23.41024944,4.499106868,2.386583244
78,Spain,ESP,1975,0.275689583,25.09684157,5.823861021,1.732832
79,European Union,EUU,1975,0.482379595,23.49661962,4.456584805,2.7035577
80,Finland,FIN,1975,0.976968261,30.64181938,3.601568941,15.52460356
81,France,FRA,1975,0.226579596,25.3972362,4.403271253,2.501631485
82,United Kingdom,GBR,1975,0.624391519,18.60249048,5.361558099,1.850013039
83,Ghana,GHA,1975,5.517001832,14.43689816,2.269356413,9.735812673
84,High income,HIC,1975,2.702963197,22.72883308,4.635098593,3.433087884
85,Honduras,HND,1975,7.061206445,8.959074733,0.975850341,15.53388293
86,India,IND,1975,2.98428185,13.098093,2.542802904,3.978774927
87,Italy,ITA,1975,0.128370223,24.05601303,7.11245352,1.253406515
88,Kuwait,KWT,1975,64.03267693,67.87308834,0.725282721,0.077970177
89,Sri Lanka,LKA,1975,0.776306879,7.537896825,2.355532691,19.50802777
90,Morocco,MAR,1975,8.020739412,19.75247885,4.739401019,2.144587456
91,Madagascar,MDG,1975,2.048749546,5.156193847,2.086145697,5.572645204
92,Mali,MLI,1975,4.595356958,7.276386151,2.21606356,47.02356008
93,Malta,MLT,1975,0.0,28.26754572,1.410017976,0.575660821
94,Malaysia,MYS,1975,28.89984154,20.27484306,2.05587542,34.12704042
95,North America,NAC,1975,3.2722594,20.93797624,2.894154577,5.31196349
96,Niger,NER,1975,3.90347471,7.747064783,4.008590696,0.2220509
97,Netherlands,NLD,1975,1.048440326,27.33080343,3.045566242,3.454598566
98,Norway,NOR,1975,1.422573509,30.08922811,2.534152755,4.411171572
99,OECD members,OED,1975,1.795922912,21.88261521,4.452802198,3.818044628
100,Portugal,PRT,1975,0.464422696,16.24996947,6.700940388,9.493987188
101,Post-demographic dividend,PST,1975,1.743371582,21.80971492,4.773235459,3.550511717
102,South Asia,SAS,1975,2.418730764,12.89689327,2.57245485,5.743980159
103,Saudi Arabia,SAU,1975,55.90865088,56.77732787,1.44512322,0.00400394
104,Senegal,SEN,1975,4.878513637,17.32097813,3.163581459,1.960006729
105,Singapore,SGP,1975,0.003915315,29.65506492,5.6030663,12.48471656
106,Sweden,SWE,1975,0.772216776,26.54520805,2.281950476,11.85693896
107,Togo,TGO,1975,15.48888745,23.25797629,2.237128449,0.962183653
108,Thailand,THA,1975,1.772789119,20.56115755,4.042397402,12.3409405
109,South Asia (IDA & IBRD),TSA,1975,2.418730764,12.89689327,2.57245485,5.743980159
110,Turkey,TUR,1975,0.882960443,32.88623213,2.329722645,20.31318141
111,United States,USA,1975,3.129789002,20.91525689,3.079480684,4.148306941
112,"Venezuela, RB",VEN,1975,26.30554191,30.98706159,2.456863515,0.025413213
113,South Africa,ZAF,1975,5.139028309,26.24839077,2.962844719,6.699165849
114,Argentina,ARG,1976,2.711778693,34.04870673,5.255708634,6.070027881
115,Bolivia,BOL,1976,4.193910576,16.33128761,0.695541298,3.50111713
116,Brazil,BRA,1976,1.951440831,19.16298454,1.418145792,2.273231633
117,Canada,CAN,1976,4.197842474,21.93687931,2.259722517,11.32021587
118,Chile,CHL,1976,12.88334255,14.42208922,3.71131579,6.541644907
119,Colombia,COL,1976,4.212296025,18.7228326,4.098230622,5.209142674
120,Cyprus,CYP,1976,1.654080572,16.62787496,1.034643551,1.428383444
121,Germany,DEU,1976,0.778235028,20.53816915,4.420219464,1.381085847
122,Denmark,DNK,1976,0.06742233,21.0601725,3.996793375,4.714474621
123,Dominican Republic,DOM,1976,2.026073883,18.459699,3.485604249,0.145982877
124,Europe & Central Asia,ECS,1976,0.589503719,23.62369991,4.810173872,3.501439577
125,Ecuador,ECU,1976,7.00486383,17.87942692,1.893323903,1.86847737
126,Euro area,EMU,1976,0.508730186,23.53413069,4.936731858,2.59399861
127,Spain,ESP,1976,0.302114373,22.51582258,6.402562958,1.810897214
128,European Union,EUU,1976,0.51159086,23.49786111,4.879518833,2.961413282
129,Finland,FIN,1976,0.98524476,29.00497868,3.780012384,16.09801777
130,France,FRA,1976,0.250395206,25.16013241,4.792559131,2.81883941
131,United Kingdom,GBR,1976,0.867183907,19.92154618,6.19956102,2.065688593
132,Ghana,GHA,1976,5.754136537,8.768116827,2.416236282,9.231033601
133,High income,HIC,1976,2.872379569,23.4036318,5.211827725,3.895698333
134,Honduras,HND,1976,4.936811693,11.44287505,1.375272809,11.72511117
135,India,IND,1976,2.923576635,15.96559807,3.003358344,4.175673414
136,"Iran, Islamic Rep.",IRN,1976,35.62090012,39.98265495,2.460303884,0.805426251
137,Iceland,ISL,1976,0.0,30.03339814,2.694722684,1.30901471
138,Italy,ITA,1976,0.140666154,25.62671894,8.584667149,1.282894497
139,Jamaica,JAM,1976,7.108769301,8.407179588,2.506770187,0.346098924
140,Jordan,JOR,1976,1.172438659,31.27315119,2.143236368,0.703002726
141,Kenya,KEN,1976,3.693559641,17.42962907,2.322752172,9.122295679
142,"Korea, Rep.",KOR,1976,0.571243489,25.54352993,13.41827308,1.691768602
143,Kuwait,KWT,1976,65.54052419,69.31773948,1.242459887,0.133173717
144,Sri Lanka,LKA,1976,0.531682872,2.908484952,2.597313599,21.20098229
145,Morocco,MAR,1976,3.276168926,14.83272118,5.632019949,3.418722371
146,Madagascar,MDG,1976,1.825052649,7.605376354,1.527403718,4.491786415
147,Mali,MLI,1976,3.709880019,8.918472616,0.696557134,52.02848169
148,Malta,MLT,1976,0.0,31.98243409,1.503029529,0.546384236
149,Mauritius,MUS,1976,0.093778546,25.7653023,2.19738633,0.219308189
150,Malaysia,MYS,1976,29.11316384,28.0826034,2.964414908,41.06745171
151,North America,NAC,1976,3.126389828,21.50490288,3.165413152,6.069436743
152,Niger,NER,1976,3.598205826,10.31348781,0.744034833,2.476409941
153,Netherlands,NLD,1976,1.028753272,27.92202252,3.500534152,3.447945355
154,Norway,NOR,1976,1.942591577,28.38016029,2.298061186,4.661558693
155,Nepal,NPL,1976,2.285661967,15.32126861,0.025296123,37.19614496
156,OECD members,OED,1976,1.811956897,22.49543719,4.97676216,4.37272951
157,Pakistan,PAK,1976,0.749082263,13.12745074,3.565246845,7.800269117
158,Papua New Guinea,PNG,1976,19.73059899,20.61266143,0.28319428,4.048962256
159,Portugal,PRT,1976,0.433118757,18.07783895,8.043975148,11.76650001
160,Post-demographic dividend,PST,1976,1.751070816,22.35003985,5.354460289,4.009371661
161,South Asia,SAS,1976,2.469453219,14.084198,2.977197686,5.18119176
162,Saudi Arabia,SAU,1976,54.30903081,60.33235937,2.094257928,0.00684164
163,Singapore,SGP,1976,0.003239272,30.08034627,8.223560902,15.238667
164,El Salvador,SLV,1976,0.719383907,18.94789635,2.051367593,9.207052298
165,Sweden,SWE,1976,0.795614267,24.25639116,2.387211708,12.25048916
166,Seychelles,SYC,1976,0.0,29.21128571,0.660146779,0.679005908
167,Togo,TGO,1976,11.06598308,31.04465658,1.46371714,3.123196184
168,Thailand,THA,1976,1.68977754,20.45656527,4.9925886,13.19991575
169,Latin America & the Caribbean (IDA & IBRD countries),TLA,1976,4.895871314,21.38551603,2.869933104,6.732442634
170,South Asia (IDA & IBRD),TSA,1976,2.469453219,14.084198,2.977197686,5.18119176
171,Tunisia,TUN,1976,7.895579829,25.82022234,4.417712663,1.808769963
172,Turkey,TUR,1976,0.91329654,34.10634536,2.068020119,26.86418834
173,United States,USA,1976,3.00831382,21.46457907,3.334647591,4.636552389
174,"Venezuela, RB",VEN,1976,24.47735305,27.22384237,2.420009127,0.115827266
175,South Africa,ZAF,1976,5.788920536,25.33224418,3.82480742,7.967747126
176,Argentina,ARG,1977,2.302502627,32.50771112,4.1672438,6.549568208
177,Bangladesh,BGD,1977,2.487015356,10.03992261,3.820660197,27.85228111
178,Bolivia,BOL,1977,5.196809061,14.67223951,0.994198814,3.171526212
179,Brazil,BRA,1977,1.78593312,19.763868,1.458699978,2.353514917
180,Central African Republic,CAF,1977,11.35295028,7.829276044,0.477460092,32.93588175
181,Canada,CAN,1977,4.459981061,20.687403,2.181802461,11.69921347
182,Chile,CHL,1977,8.815869986,10.69583148,3.730416758,7.989091802
183,Cameroon,CMR,1977,5.547737142,4.10184389,0.313416699,18.18250342
184,Colombia,COL,1977,2.989314255,21.02405782,3.60520958,6.331215564
185,Costa Rica,CRI,1977,5.782967892,16.72411513,1.480575503,1.137196502
186,Cyprus,CYP,1977,0.730411027,19.35907796,1.752089379,1.038040338
187,Germany,DEU,1977,0.6565143,20.24688165,4.568662379,1.260165175
188,Denmark,DNK,1977,0.082763386,21.76286016,4.012048832,5.01064441
189,Dominican Republic,DOM,1977,1.793317327,15.8939978,2.277733257,0.144560227
190,Algeria,DZA,1977,24.70376051,31.52026942,2.658423384,0.051015842
191,Early-demographic dividend,EAR,1977,13.94988944,25.43201672,4.051380747,6.594745012
192,Europe & Central Asia,ECS,1977,0.555826159,23.40898105,4.635474963,3.057459926
193,Ecuador,ECU,1977,5.087812562,21.20039665,1.765053517,1.386137981
194,"Egypt, Arab Rep.",EGY,1977,13.27869753,20.80630896,8.348589517,29.94569993
195,Euro area,EMU,1977,0.434315,23.34709371,4.81494538,2.512384488
196,Spain,ESP,1977,0.256898898,22.93027977,6.578878351,1.832178803
197,European Union,EUU,1977,0.432256925,23.1883683,4.753515714,2.850064657
198,Finland,FIN,1977,0.911445298,27.76615465,3.531339551,15.8557706
199,France,FRA,1977,0.226071842,24.95332262,4.457393924,2.766545465
200,United Kingdom,GBR,1977,1.209173504,21.08962968,5.687714606,1.838085902
201,Ghana,GHA,1977,7.40909377,11.48281847,2.260667489,8.498728448
202,Guatemala,GTM,1977,1.495729754,19.50552068,1.097968343,17.31599087
203,Guyana,GUY,1977,27.70208352,6.668096241,0.243122601,1.441369942
204,High income,HIC,1977,2.813483547,23.46800863,5.082917517,3.883973217
205,Honduras,HND,1977,5.908971836,15.3399196,1.088986533,11.43300198
206,India,IND,1977,3.92947726,15.40497534,8.798452376,3.032555779
207,"Iran, Islamic Rep.",IRN,1977,30.70376458,36.28735706,2.647311075,0.228626784
208,Iceland,ISL,1977,0.0,30.51381857,2.91015029,1.238092115
209,Italy,ITA,1977,0.123853974,25.62765172,8.073556859,1.07313883
210,Jamaica,JAM,1977,8.829710627,12.25672908,3.015749158,0.383038742
211,Jordan,JOR,1977,3.03952238,35.54682645,1.859835526,0.628021788
212,Kenya,KEN,1977,5.030422483,25.30817947,2.655962236,5.626561422
213,"Korea, Rep.",KOR,1977,0.483741398,28.55010452,13.61349528,2.214330234
214,Kuwait,KWT,1977,60.08805,55.54408876,1.024385462,0.129376187
215,Latin America & Caribbean (excluding high income),LAC,1977,2.689028165,21.38183633,2.832771566,5.058435855
216,Latin America & Caribbean,LCN,1977,4.123293167,20.94992385,2.900451173,5.135940567
217,Sri Lanka,LKA,1977,1.478344252,5.131476096,2.064510261,16.77894158
218,Morocco,MAR,1977,7.11411554,16.20531847,5.415808459,2.328529352
219,Madagascar,MDG,1977,3.550013701,6.677172475,1.703820533,3.408475444
220,Mali,MLI,1977,5.545711228,17.53361984,0.910464184,58.10138434
221,Malta,MLT,1977,0.0,26.60922544,2.245538278,0.471585794
222,Middle East & North Africa (excluding high income),MNA,1977,27.4507909,28.64822681,4.337162835,4.189503362
223,Mauritius,MUS,1977,0.089015283,20.58066683,2.613969916,0.205049383
224,Malaysia,MYS,1977,30.75362994,27.24798902,3.051984178,38.69816368
225,North America,NAC,1977,3.204350959,22.07835456,3.149893441,6.481257084
226,Niger,NER,1977,5.260284478,14.02179547,0.437796081,2.347230798
227,Netherlands,NLD,1977,0.921928702,26.38881158,3.200708586,3.622198422
228,Norway,NOR,1977,1.777487923,25.95193532,2.111181347,3.715358538
229,Nepal,NPL,1977,9.172688007,17.44328299,0.421473796,45.29928294
230,OECD members,OED,1977,1.777625003,22.80278399,4.881601595,4.045053133
231,Pakistan,PAK,1977,1.544714326,15.30561031,4.38821999,6.068968871
232,Panama,PAN,1977,0.511896749,28.08091147,0.45184071,0.210858925
233,Peru,PER,1977,3.916823411,12.67910299,1.981606571,5.158101525
234,Portugal,PRT,1977,0.387677066,21.07712077,8.934139436,10.04740211
235,Post-demographic dividend,PST,1977,1.722809296,22.73477397,5.229594827,3.993281279
236,South Asia,SAS,1977,3.563869701,14.71977268,7.542472515,6.220119518
237,Saudi Arabia,SAU,1977,54.0881016,48.27789896,1.425718729,0.008430697
238,Senegal,SEN,1977,5.202230944,15.36490884,1.60518907,3.809297012
239,Singapore,SGP,1977,0.001462227,30.19965403,8.071188037,14.10591289
240,El Salvador,SLV,1977,0.979926992,24.73314122,2.034443978,8.51734406
241,Sweden,SWE,1977,0.577882307,20.9549398,2.440649518,11.14565951
242,Seychelles,SYC,1977,0.0,43.65369019,1.230373069,1.801341911
243,Togo,TGO,1977,23.10635976,27.0597027,0.991645089,2.30662687
244,Thailand,THA,1977,2.234020818,21.88798235,5.272132636,12.09106147
245,Latin America & the Caribbean (IDA & IBRD countries),TLA,1977,4.263514623,20.96316936,2.901274425,5.138565556
246,Middle East & North Africa (IDA & IBRD countries),TMN,1977,27.4507909,28.64822681,4.337162835,4.189503362
247,South Asia (IDA & IBRD),TSA,1977,3.563869701,14.71977268,7.542472515,6.220119518
248,Tunisia,TUN,1977,10.37058823,22.41483298,4.173528376,1.998775239
249,Turkey,TUR,1977,0.796801938,31.93121715,2.056187574,15.87213313
250,United States,USA,1977,3.07679609,22.20819607,3.330706311,5.057336401
251,"Venezuela, RB",VEN,1977,17.87638061,25.06981105,2.303306793,0.014100237
252,South Africa,ZAF,1977,6.164782114,25.76310504,3.876171381,7.216195054
253,Argentina,ARG,1978,2.534692776,30.17940548,4.489653148,7.000759807
254,Bangladesh,BGD,1978,1.776904918,5.704443543,11.89469361,22.43494241
255,Bolivia,BOL,1978,5.430877662,14.86945959,0.636009634,4.112242572
256,Brazil,BRA,1978,1.704134087,19.5403653,1.447775276,2.91890689
257,Central African Republic,CAF,1978,10.55839326,6.922912678,0.667131205,29.77133794
258,Canada,CAN,1978,4.097857048,20.39247923,2.230816132,11.55467492
259,Chile,CHL,1978,7.563634094,12.01688515,3.500521718,10.12306826
260,Cameroon,CMR,1978,5.547545375,18.2519466,0.448386824,16.06827808
261,"Congo, Rep.",COG,1978,22.16561871,8.129910086,0.366363199,8.410431566
262,Colombia,COL,1978,2.616644998,19.96043295,3.07675278,3.715194529
263,Costa Rica,CRI,1978,5.631274571,12.86644178,1.123648071,1.971574758
264,Cyprus,CYP,1978,0.440335784,18.30397106,1.794393609,1.562180418
265,Germany,DEU,1978,0.486955331,21.14466935,4.396217843,1.234798933
266,Denmark,DNK,1978,0.072305629,22.17316285,4.246783013,5.055742187
267,Dominican Republic,DOM,1978,0.892600908,16.99796109,2.204024568,0.183813923
268,Algeria,DZA,1978,21.41737748,33.98083715,1.953384473,0.044534807
269,Early-demographic dividend,EAR,1978,12.21578715,22.81193894,3.364573589,7.161312848
270,Europe & Central Asia,ECS,1978,0.489233371,23.72895623,4.311707053,3.069593941
271,Ecuador,ECU,1978,5.57381265,20.85879687,1.329316602,1.32812412
272,"Egypt, Arab Rep.",EGY,1978,15.20476468,24.40660882,5.447535961,22.32222759
273,Euro area,EMU,1978,0.350434489,23.80200852,4.54158282,2.46498102
274,Spain,ESP,1978,0.200589671,23.53548498,6.299378051,1.843632412
275,European Union,EUU,1978,0.355570601,23.59595222,4.503000176,2.79902027
276,Finland,FIN,1978,1.159376348,28.16157137,3.547312491,16.38611866
277,France,FRA,1978,0.175612502,25.03271193,4.073610725,2.647455478
278,Gabon,GAB,1978,29.89005451,38.58494065,0.851252401,7.60336834
279,United Kingdom,GBR,1978,1.098449416,21.45196611,4.819865077,1.614471524
280,Ghana,GHA,1978,6.376767397,5.408398128,1.770489656,6.337022476
281,"Gambia, The",GMB,1978,3.274359732,3.805367491,1.728853684,1.85599652
282,Guatemala,GTM,1978,1.52901304,17.44803092,1.169164666,17.28887156
283,Guyana,GUY,1978,25.64702963,14.12191602,0.241425014,1.456817681
284,High income,HIC,1978,2.301863153,24.05996474,4.708204456,3.669096992
285,Honduras,HND,1978,3.259773842,13.90041779,1.090784946,10.62672036
286,India,IND,1978,3.357259935,15.05825672,5.441364065,2.853656617
287,Iceland,ISL,1978,0.0,28.81711712,2.765631628,1.075782833
288,Italy,ITA,1978,0.114639908,26.05507393,7.979211332,1.02931698
289,Jamaica,JAM,1978,11.16714862,14.92401944,1.996571952,0.361976017
290,Jordan,JOR,1978,0.082227367,18.7003639,1.963143397,0.688102278
291,Kenya,KEN,1978,4.644966755,18.19384689,1.750779615,7.645797826
292,"Korea, Rep.",KOR,1978,0.310065442,31.5866505,12.17722834,1.960479933
293,Kuwait,KWT,1978,61.27147471,59.76928836,1.031519466,0.093043604
294,Latin America & Caribbean (excluding high income),LAC,1978,2.716687736,21.02797544,2.680494823,5.373870918
295,Latin America & Caribbean,LCN,1978,3.999779469,20.33582758,2.726040914,5.54872485
296,Sri Lanka,LKA,1978,2.224622772,11.15229777,2.716050258,17.975217
297,Morocco,MAR,1978,1.801481291,16.02868039,5.686897374,2.958315532
298,Madagascar,MDG,1978,3.410270085,4.936855163,1.61166442,2.313809659
299,Mali,MLI,1978,5.038545183,5.791421336,1.06315965,58.28916244
300,Malta,MLT,1978,0.0,28.19076823,2.234124599,0.439027823
301,Mauritius,MUS,1978,0.104038968,19.14350248,2.906818427,0.349102185
302,Malaysia,MYS,1978,26.32836935,27.59066954,2.493153152,36.28820658
303,North America,NAC,1978,2.833429964,23.16927766,3.187561681,6.295589526
304,Niger,NER,1978,3.958503355,20.72975388,0.18769227,1.803340355
305,Netherlands,NLD,1978,0.824511069,24.85629481,2.994981943,3.758971544
306,Norway,NOR,1978,2.362905881,26.47396971,2.509711551,3.24150459
307,Nepal,NPL,1978,8.055118416,17.42714069,0.163208606,42.28370466
308,OECD members,OED,1978,1.488926228,23.61545824,4.637982899,4.005390657
309,Pakistan,PAK,1978,1.243450015,15.53536312,3.756553613,12.32608462
310,Panama,PAN,1978,0.409459419,30.42539592,0.530218995,0.236112116
311,Peru,PER,1978,5.830498944,18.46045942,2.371259297,5.021913689
312,Portugal,PRT,1978,0.523981647,25.97888685,6.474899589,8.216467803
313,Post-demographic dividend,PST,1978,1.427948972,23.62665674,4.957390112,3.860873374
314,South Asia,SAS,1978,3.029581843,14.33197439,5.659207796,5.943903096
315,Saudi Arabia,SAU,1978,45.9103393,34.27582237,0.990784612,0.02386044
316,Sudan,SDN,1978,0.0,6.844019076,1.093949514,60.87260121
317,Senegal,SEN,1978,2.860956275,9.849616887,1.056912401,4.443351441
318,Singapore,SGP,1978,0.001967424,32.4577112,7.411119055,13.73836379
319,El Salvador,SLV,1978,0.946397845,17.00788693,1.854893541,16.22376349
320,Sweden,SWE,1978,0.625856923,20.43950624,2.182317543,10.68506939
321,Seychelles,SYC,1978,0.0,46.14996638,0.691880056,0.146286809
322,Togo,TGO,1978,9.99923875,43.39819249,0.703909344,1.008756293
323,Thailand,THA,1978,1.810816884,23.73005894,4.217520766,12.42080471
324,Latin America & the Caribbean (IDA & IBRD countries),TLA,1978,4.156204349,20.36318083,2.726679119,5.551597927
325,South Asia (IDA & IBRD),TSA,1978,3.029581843,14.33197439,5.659207796,5.943903096
326,Tunisia,TUN,1978,7.955090343,23.59625424,3.457583071,2.055011964
327,Turkey,TUR,1978,0.797765193,30.95023482,1.619217724,19.16093825
328,Uruguay,URY,1978,0.617880874,18.97500226,6.551948705,21.68363032
329,United States,USA,1978,2.715928769,23.42848419,3.366233528,4.860441922
330,"Venezuela, RB",VEN,1978,17.10064709,19.67053117,1.822160703,0.014361769
331,South Africa,ZAF,1978,5.22352021,26.79920281,3.419302076,6.667027431
332,Argentina,ARG,1979,5.495651469,25.21609673,4.688576372,4.828868404
333,Benin,BEN,1979,7.167350843,12.64138488,1.11087915,12.82848735
334,Bangladesh,BGD,1979,0.680122599,7.076281516,5.273363641,21.17590802
335,Bolivia,BOL,1979,8.873376655,14.64485234,0.839945622,4.160640528
336,Brazil,BRA,1979,2.335278162,18.32136235,1.351868689,3.442275322
337,Central African Republic,CAF,1979,9.386261384,7.518813675,0.389273934,26.26496007
338,Canada,CAN,1979,8.425327305,22.15099231,2.523776326,12.12696001
339,Chile,CHL,1979,9.475100042,12.34322465,2.525718339,9.250370398
340,Cameroon,CMR,1979,8.557148855,15.57102318,0.467586132,12.62702462
341,"Congo, Rep.",COG,1979,40.49871014,17.91013447,0.464040244,3.722564464
342,Colombia,COL,1979,4.50217885,19.24506304,3.435609711,3.48029759
343,Costa Rica,CRI,1979,6.951849013,11.63624504,1.306241283,1.09880917
344,Cyprus,CYP,1979,0.21830699,23.41421541,1.884683892,1.261986937
345,Germany,DEU,1979,0.4827154,20.59694139,4.142096129,1.284162449
346,Denmark,DNK,1979,0.108391465,20.59368547,4.552389444,5.835613726
347,Dominican Republic,DOM,1979,2.093487455,20.30961955,2.675568884,0.146933971
348,Algeria,DZA,1979,39.16939436,36.6621081,2.221278681,0.028898866
349,Early-demographic dividend,EAR,1979,21.77869847,23.79827966,2.996997629,6.549088751
350,Europe & Central Asia,ECS,1979,0.756355913,23.59765062,4.276561716,2.92740397
351,"Egypt, Arab Rep.",EGY,1979,30.43987177,22.5631025,5.516998677,23.51759082
352,Euro area,EMU,1979,0.420472246,23.6147021,4.526902517,2.486707787
353,Spain,ESP,1979,0.228266255,22.57240955,6.060744905,1.673311307
354,European Union,EUU,1979,0.425069184,23.40804449,4.492730495,2.808931588
355,Finland,FIN,1979,1.339959684,29.75109633,3.205698506,18.68304154
356,France,FRA,1979,0.2035407,25.03987622,4.155406007,2.597450411
357,Gabon,GAB,1979,52.94764415,38.18026683,0.717042925,6.084875797
358,United Kingdom,GBR,1979,2.31091131,20.57358893,4.613637977,1.679861872
