,Country Name,Country Code,year,agriculturalLand,agriculturalMachinery
51,"Egypt, Arab Rep.",EGY,1961,2.579737807,51.36854742
52,Euro area,EMU,1961,56.12347975,338.690108
53,Spain,ESP,1961,66.48925527,43.75046165
54,Ethiopia,ETH,1961,52.53042688,0.227272727
55,European Union,EUU,1961,52.9000087,258.050407
56,Fragile and conflict affected situations,FCS,1961,29.69629971,3.91868656
57,Finland,FIN,1961,9.080074855,308.8527789
58,Fiji,FJI,1961,12.42474001,106.741573
59,France,FRA,1961,63.07732766,379.1696419
60,United Kingdom,GBR,1961,81.84185508,639.7351916
61,Ghana,GHA,1961,51.41953063,5.882352941
62,Guinea,GIN,1961,59.49861631,1.082386364
63,"Gambia, The",GMB,1961,51.77865613,3.05785124
64,Guinea-Bissau,GNB,1961,48.29302987,0.127659574
65,Greece,GRC,1961,69.12335144,80.99498926
66,Grenada,GRD,1961,64.70588235,24.0
67,Guatemala,GTM,1961,24.69204927,17.72727273
68,Guam,GUM,1961,29.62962963,295.0
69,Guyana,GUY,1961,6.908647247,92.57142857
70,High income,HIC,1961,38.41421375,253.2632857
71,"Hong Kong SAR, China",HKG,1961,13.7254902,1.538461538
72,Honduras,HND,1961,26.63330056,2.347490347
73,Heavily indebted poor countries (HIPC),HPC,1961,33.95486637,3.645742783
74,Haiti,HTI,1961,60.23222061,0.888888889
75,Hungary,HUN,1961,78.66503776,85.03465537
76,IBRD only,IBD,1961,34.83869086,17.70591943
77,IDA & IBRD total,IBT,1961,34.901139,13.97940811
78,IDA total,IDA,1961,35.04638355,3.654236148
79,IDA blend,IDB,1961,36.56835879,4.143820072
80,Indonesia,IDN,1961,21.30748467,0.027777778
81,IDA only,IDX,1961,34.70671265,3.368652753
82,India,IND,1961,58.84319536,1.990680718
83,Ireland,IRL,1961,81.86964726,286.163522
84,"Iran, Islamic Rep.",IRN,1961,36.39026008,5.340453939
85,Iraq,IRQ,1961,20.12026431,7.173913043
86,Iceland,ISL,1961,21.14713217,514.75
87,Israel,ISR,1961,23.61367837,235.3773585
88,Italy,ITA,1961,70.32402842,212.1357487
89,Jamaica,JAM,1961,49.21514312,93.85542169
90,Jordan,JOR,1961,12.28467815,32.96296296
91,Japan,JPN,1961,19.38914644,12.32862191
92,Kenya,KEN,1961,44.27733071,18.34857143
93,Cambodia,KHM,1961,19.929753,2.114164905
94,Kiribati,KIR,1961,48.14814815,10.0
95,St. Kitts and Nevis,KNA,1961,57.14285714,167.0
96,"Korea, Rep.",KOR,1961,21.90545304,0.11805214
97,Kuwait,KWT,1961,7.575757576,20.0
98,Latin America & Caribbean (excluding high income),LAC,1961,28.39423408,38.77814033
99,Lao PDR,LAO,1961,6.715771231,0.46875
100,Lebanon,LBN,1961,54.93646139,65.40697674
101,Libya,LBY,1961,6.348250111,15.11764706
102,St. Lucia,LCA,1961,27.86885246,50.0
103,Latin America & Caribbean,LCN,1961,28.28818443,43.15152338
104,Least developed countries: UN classification,LDC,1961,34.91885588,2.865444705
105,Low income,LIC,1961,36.52189201,2.802500456
106,Liechtenstein,LIE,1961,56.25,1117.5
107,Sri Lanka,LKA,1961,27.47568171,77.91596639
108,Lower middle income,LMC,1961,37.47780813,5.242587504
109,Low & middle income,LMY,1961,34.93629148,12.5376319
110,Lesotho,LSO,1961,85.01317523,3.826815642
111,Morocco,MAR,1961,52.35918806,12.13960546
112,Madagascar,MDG,1961,60.43436393,4.877922078
113,Middle East & North Africa,MEA,1961,25.7453277,17.53310119
114,Mexico,MEX,1961,50.57537488,28.70764341
115,Middle income,MIC,1961,34.59691762,13.74079587
116,Mali,MLI,1961,25.97792147,0.543345543
117,Malta,MLT,1961,56.25,57.64705882
118,Myanmar,MMR,1961,15.95923738,0.909090909
119,Middle East & North Africa (excluding high income),MNA,1961,23.24033605,16.44491773
120,Mongolia,MNG,1961,90.55524087,36.85897436
121,Mozambique,MOZ,1961,59.32119332,8.79705401
122,Mauritania,MRT,1961,38.3448142,0.374531835
123,Mauritius,MUS,1961,48.76847291,31.88888889
124,Malawi,MWI,1961,33.941451,1.523076923
125,Malaysia,MYS,1961,9.388951453,21.19935342
126,North America,NAC,1961,28.10281538,241.1995651
127,New Caledonia,NCL,1961,14.27789934,457.1428571
128,Niger,NER,1961,24.86776664,0.004348204
129,Nigeria,NGA,1961,58.38632146,0.211179773
130,Nicaragua,NIC,1961,28.50257603,1.262135922
131,Netherlands,NLD,1961,68.54265403,625.0
132,Norway,NOR,1961,2.830984219,640.1869159
133,Nepal,NPL,1961,24.84615385,0.996677741
134,New Zealand,NZL,1961,59.91796741,280.52
135,OECD members,OED,1961,39.63161004,229.4812421
136,Oman,OMN,1961,3.344103393,1.0
137,Other small states,OSS,1961,40.78866831,56.72603457
138,Pakistan,PAK,1961,46.3496264,1.798561151
139,Panama,PAN,1961,21.84557439,7.922374429
140,Peru,PER,1961,13.246875,38.69710468
141,Philippines,PHL,1961,25.85998793,8.365639665
142,Papua New Guinea,PNG,1961,1.093053041,120.2666667
143,Poland,POL,1961,66.34888504,44.89274962
144,Pre-demographic dividend,PRE,1961,35.30625737,3.519989651
145,Puerto Rico,PRI,1961,69.4475761,118.3035714
146,"Korea, Dem. People's Rep.",PRK,1961,19.76580018,41.86046512
147,Portugal,PRT,1961,42.34972678,42.87195852
148,Paraguay,PRY,1961,26.20437956,55.71428571
149,West Bank and Gaza,PSE,1961,60.79734219,3.8
150,Post-demographic dividend,PST,1961,39.13905518,264.1710642
151,French Polynesia,PYF,1961,12.02185792,250.0
152,Qatar,QAT,1961,4.392764858,60.0
153,Romania,ROU,1961,63.38890336,52.7270882
154,Rwanda,RWA,1961,53.30360762,0.412371134
155,South Asia,SAS,1961,55.12828586,2.058212464
156,Saudi Arabia,SAU,1961,40.08484944,1.140350877
157,Senegal,SEN,1961,44.91248117,0.647800886
158,Solomon Islands,SLB,1961,1.964987496,4.0
159,Sierra Leone,SLE,1961,36.1873095,2.816901408
160,El Salvador,SLV,1961,60.04796163,32.78688525
161,Somalia,SOM,1961,69.98597252,8.417508418
162,Sub-Saharan Africa (excluding high income),SSA,1961,39.31617014,14.27552858
163,Sub-Saharan Africa,SSF,1961,39.31555413,14.27566
164,Small states,SST,1961,34.12625752,72.99307328
165,Sao Tome and Principe,STP,1961,36.45833333,100.0
166,Suriname,SUR,1961,0.262820513,207.1428571
167,Sweden,SWE,1961,10.32558366,417.7092139
168,Eswatini,SWZ,1961,85.34883721,50.24193548
169,Seychelles,SYC,1961,10.86956522,30.0
170,Syrian Arab Republic,SYR,1961,81.29829144,7.019199479
171,Chad,TCD,1961,38.01587302,0.062133241
172,East Asia & Pacific (IDA & IBRD countries),TEA,1961,35.84897696,5.13813531
173,Togo,TGO,1961,56.4441993,0.166666667
174,Thailand,THA,1961,22.80921529,4.807692308
175,Latin America & the Caribbean (IDA & IBRD countries),TLA,1961,28.2590299,42.38063377
176,Timor-Leste,TLS,1961,15.46738399,1.0
177,Middle East & North Africa (IDA & IBRD countries),TMN,1961,23.21416168,16.47137596
178,Tonga,TON,1961,37.5,79.16666667
179,South Asia (IDA & IBRD),TSA,1961,55.12828586,2.058212464
180,Sub-Saharan Africa (IDA & IBRD countries),TSS,1961,39.31555413,14.27566
181,Trinidad and Tobago,TTO,1961,18.90838207,315.7894737
182,Tunisia,TUN,1961,55.66426365,33.22580645
183,Turkey,TUR,1961,47.44747476,18.46260809
184,Tanzania,TZA,1961,29.35199819,31.82692308
185,Uganda,UGA,1961,45.13287623,1.666666667
186,Uruguay,URY,1961,93.44074963,100.6316218
187,United States,USA,1961,48.86024177,259.6467918
188,St. Vincent and the Grenadines,VCT,1961,25.64102564,45.0
189,"Venezuela, RB",VEN,1961,21.80375262,39.31034483
190,British Virgin Islands,VGB,1961,40.0,10.0
191,Virgin Islands (U.S.),VIR,1961,34.28571429,142.5
192,Vietnam,VNM,1961,19.33085502,20.9009009
193,Vanuatu,VUT,1961,8.613617719,3.0
194,World,WLD,1961,35.96509463,98.53207758
195,Samoa,WSM,1961,19.78798587,10.0
196,"Yemen, Rep.",YEM,1961,44.20137508,3.011093502
197,South Africa,ZAF,1961,83.53460996,101.8483333
198,Zambia,ZMB,1961,25.97156271,9.552765791
199,Zimbabwe,ZWE,1961,28.39601913,66.66843501
200,Africa Eastern and Southern,AFE,1962,43.64594771,30.28509038
201,Afghanistan,AFG,1962,57.83782128,0.194805195
202,Africa Western and Central,AFW,1962,33.55798545,0.594699418
203,Angola,AGO,1962,45.88112617,6.092592593
204,Albania,ALB,1962,44.96350365,87.1559633
205,Arab World,ARB,1962,27.82656433,21.33166472
206,United Arab Emirates,ARE,1962,2.928752464,248.0
207,Argentina,ARG,1962,49.85365533,67.77893639
208,American Samoa,ASM,1962,15.0,30.0
209,Antigua and Barbuda,ATG,1962,20.45454545,194.2857143
210,Australia,AUS,1962,62.03779226,174.6994142
211,Austria,AUT,1962,42.75853718,879.1671624
212,Burundi,BDI,1962,61.91588785,0.028571429
213,Belgium,BEL,1962,55.33211456,532.938247
214,Benin,BEN,1962,12.96559063,0.680851064
215,Burkina Faso,BFA,1962,29.78435673,0.159325211
216,Bangladesh,BGD,1962,72.80479373,0.930557171
217,Bulgaria,BGR,1962,51.38750791,74.02262879
218,"Bahamas, The",BHS,1962,0.999000999,45.71428571
219,Belize,BLZ,1962,3.463393249,74.72222222
220,Bermuda,BMU,1962,5.555555556,1333.333333
221,Bolivia,BOL,1962,27.63961968,10.80246914
222,Brazil,BRA,1962,19.22269787,33.94461233
223,Barbados,BRB,1962,44.18604651,187.5
224,Brunei Darussalam,BRN,1962,3.984819734,12.5
225,Botswana,BWA,1962,45.87722549,15.03759398
226,Central African Republic,CAF,1962,7.62143247,0.100591716
227,Canada,CAN,1962,6.946559011,151.1788277
228,Switzerland,CHE,1962,43.85245902,1400.553181
229,Chile,CHL,1962,18.23189856,91.80327869
230,China,CHN,1962,36.71214999,5.369544132
231,Cote d'Ivoire,CIV,1962,49.93710692,1.785714286
232,Cameroon,CMR,1962,16.01404667,0.061386139
233,"Congo, Dem. Rep.",COD,1962,11.05842394,1.046875
234,"Congo, Rep.",COG,1962,30.86383602,3.730769231
235,Colombia,COL,1962,36.9283461,54.50453001
236,Cabo Verde,CPV,1962,16.12903226,0.526315789
237,Costa Rica,CRI,1962,27.61457109,147.3684211
238,Caribbean small states,CSS,1962,5.526185771,118.9173789
239,Cuba,CUB,1962,35.4283054,99.66777409
240,Cyprus,CYP,1962,43.50649351,110.0917431
241,Germany,DEU,1962,55.54664452,902.0114895
242,Djibouti,DJI,1962,56.12597066,40.0
243,Dominica,DMA,1962,24.0,40.0
244,Denmark,DNK,1962,74.13264102,493.0111792
245,Dominican Republic,DOM,1962,45.64272407,24.52054795
246,Algeria,DZA,1962,18.85176384,43.33333333
247,East Asia & Pacific (excluding high income),EAP,1962,35.93334131,6.010261253
248,Early-demographic dividend,EAR,1962,35.99899574,14.14227005
249,East Asia & Pacific,EAS,1962,44.05251431,24.86830353
250,Ecuador,ECU,1962,17.01343736,9.17888563
251,"Egypt, Arab Rep.",EGY,1962,2.516449847,54.2540074
252,Euro area,EMU,1962,56.07477286,369.8351478
253,Spain,ESP,1962,66.49325703,56.9188758
254,Ethiopia,ETH,1962,52.90554042,0.218169125
255,European Union,EUU,1962,52.8356182,281.837861
256,Fragile and conflict affected situations,FCS,1962,29.80358163,4.195441107
257,Finland,FIN,1962,9.143767031,341.1593446
258,Fiji,FJI,1962,12.42474001,109.5505618
259,France,FRA,1962,62.89652754,411.8986175
260,United Kingdom,GBR,1962,81.75505311,646.7661692
261,Ghana,GHA,1962,51.41953063,8.823529412
262,Guinea,GIN,1962,59.49454664,1.651037226
263,"Gambia, The",GMB,1962,51.87747036,3.524590164
264,Guinea-Bissau,GNB,1962,48.29302987,0.212765957
265,Greece,GRC,1962,69.06128782,85.67935732
266,Grenada,GRD,1962,64.70588235,24.0
267,Guatemala,GTM,1962,24.80403135,19.09090909
268,Guam,GUM,1962,29.62962963,280.0
269,Guyana,GUY,1962,6.908647247,92.85714286
270,High income,HIC,1962,38.37918786,264.3389
271,"Hong Kong SAR, China",HKG,1962,13.7254902,1.538461538
272,Honduras,HND,1962,26.72267405,2.352490421
273,Heavily indebted poor countries (HIPC),HPC,1962,34.01419261,3.832682617
274,Haiti,HTI,1962,60.41364296,0.944444444
275,Hungary,HUN,1962,77.89380138,95.1540832
276,IBRD only,IBD,1962,34.98085294,19.03208438
277,IDA & IBRD total,IBT,1962,35.03041399,14.99991944
278,IDA total,IDA,1962,35.1456852,3.888294016
279,IDA blend,IDB,1962,36.81797782,4.227229594
280,Indonesia,IDN,1962,21.30748467,0.027777778
281,IDA only,IDX,1962,34.77246682,3.68901602
282,India,IND,1962,59.35779415,2.233567326
283,Ireland,IRL,1962,81.97125853,306.9559668
284,"Iran, Islamic Rep.",IRN,1962,36.40192539,6.671114076
285,Iraq,IRQ,1962,20.24601596,7.956989247
286,Iceland,ISL,1962,21.14713217,539.9166667
287,Israel,ISR,1962,23.33641405,275.2427184
288,Italy,ITA,1962,70.21862568,238.2907386
289,Jamaica,JAM,1962,49.39981533,102.4096386
290,Jordan,JOR,1962,12.30734361,39.74264706
291,Japan,JPN,1962,19.41641669,19.12099644
292,Kenya,KEN,1962,44.28611589,18.33714286
293,Cambodia,KHM,1962,20.01472921,2.456140351
294,Kiribati,KIR,1962,48.14814815,10.0
295,St. Kitts and Nevis,KNA,1962,57.14285714,170.0
296,"Korea, Rep.",KOR,1962,21.57370931,0.12012012
297,Kuwait,KWT,1962,7.575757576,20.0
298,Latin America & Caribbean (excluding high income),LAC,1962,28.59469377,42.04384566
299,Lao PDR,LAO,1962,6.715771231,0.515625
300,Lebanon,LBN,1962,55.71847507,62.77777778
301,Libya,LBY,1962,6.469304477,15.78947368
302,St. Lucia,LCA,1962,27.86885246,54.0
303,Latin America & Caribbean,LCN,1962,28.4763187,46.19191795
304,Least developed countries: UN classification,LDC,1962,34.972369,3.105059043
305,Low income,LIC,1962,36.58856899,3.181118949
306,Liechtenstein,LIE,1962,56.25,1125.0
307,Sri Lanka,LKA,1962,27.22053899,99.6187175
308,Lower middle income,LMC,1962,37.57834744,5.622120783
309,Low & middle income,LMY,1962,35.07162177,13.4735171
310,Lesotho,LSO,1962,84.84848485,3.966005666
311,Morocco,MAR,1962,52.82968141,12.29135053
312,Madagascar,MDG,1962,60.47735323,5.670103093
313,Middle East & North Africa,MEA,1962,25.73686541,18.82805054
314,Mexico,MEX,1962,50.50489982,31.0237849
315,Middle income,MIC,1962,34.74694211,14.7535786
316,Mali,MLI,1962,25.98201919,0.632988436
317,Malta,MLT,1962,53.125,64.375
318,Myanmar,MMR,1962,16.02044251,1.513622603
319,Middle East & North Africa (excluding high income),MNA,1962,23.2278418,17.56312894
320,Mongolia,MNG,1962,90.55524087,42.81767956
321,Mozambique,MOZ,1962,59.33518146,9.387755102
322,Mauritania,MRT,1962,38.3448142,0.561797753
323,Mauritius,MUS,1962,49.26108374,30.76923077
324,Malawi,MWI,1962,35.00212134,1.428571429
325,Malaysia,MYS,1962,9.590473292,23.13773379
326,North America,NAC,1962,27.93281994,247.0873984
327,New Caledonia,NCL,1962,14.27789934,485.7142857
328,Niger,NER,1962,24.86776664,0.005217845
329,Nigeria,NGA,1962,59.18069326,0.225409836
330,Nicaragua,NIC,1962,28.50257603,1.45631068
331,Netherlands,NLD,1962,68.21682464,724.6376812
332,Norway,NOR,1962,2.822770531,693.2084309
333,Nepal,NPL,1962,24.84615385,1.052048726
334,New Zealand,NZL,1962,60.2217918,284.2876254
335,OECD members,OED,1962,39.62886532,239.3878036
336,Oman,OMN,1962,3.344103393,1.0
337,Other small states,OSS,1962,40.80177716,62.57710403
338,Pakistan,PAK,1962,46.49232046,1.955034213
339,Panama,PAN,1962,21.98009147,12.55707763
340,Peru,PER,1962,13.35859375,38.28408502
341,Philippines,PHL,1962,26.12485751,8.551229508
342,Papua New Guinea,PNG,1962,1.093053041,123.4666667
343,Poland,POL,1962,66.15299226,52.65083075
344,Pre-demographic dividend,PRE,1962,35.39169374,3.727751985
345,Puerto Rico,PRI,1962,67.75648253,130.5164319
346,"Korea, Dem. People's Rep.",PRK,1962,19.76580018,46.51162791
347,Portugal,PRT,1962,42.41530055,47.16739912
348,Paraguay,PRY,1962,26.48376542,56.25879044
349,West Bank and Gaza,PSE,1962,60.79734219,5.0
350,Post-demographic dividend,PST,1962,39.10759096,275.6026003
351,French Polynesia,PYF,1962,12.02185792,275.0
352,Qatar,QAT,1962,4.392764858,70.0
353,Romania,ROU,1962,63.76660589,57.9520258
354,Rwanda,RWA,1962,53.70895825,0.510204082
355,South Asia,SAS,1962,55.48039021,2.323870529
356,Saudi Arabia,SAU,1962,40.09415311,1.293103448
357,Senegal,SEN,1962,44.91248117,0.579611319
358,Solomon Islands,SLB,1962,1.964987496,4.0
359,Sierra Leone,SLE,1962,36.25658077,2.916666667
360,El Salvador,SLV,1962,60.04796163,33.81147541
361,Somalia,SOM,1962,69.99394268,8.370535714
362,Sub-Saharan Africa (excluding high income),SSA,1962,39.35032413,14.73783715
363,Sub-Saharan Africa,SSF,1962,39.34970738,14.73812826
364,Small states,SST,1962,34.13890514,77.81897492
365,Sao Tome and Principe,STP,1962,36.45833333,200.0
366,Suriname,SUR,1962,0.269230769,203.4482759
367,Sweden,SWE,1962,10.16717844,439.1504018
368,Eswatini,SWZ,1962,85.93023256,50.0
369,Seychelles,SYC,1962,10.86956522,50.0
370,Syrian Arab Republic,SYR,1962,81.4560888,9.017741935
371,Chad,TCD,1962,38.01587302,0.062133241
372,East Asia & Pacific (IDA & IBRD countries),TEA,1962,36.0564443,5.456575571
373,Togo,TGO,1962,56.4441993,0.183333333
374,Thailand,THA,1962,23.44927479,4.716981132
375,Latin America & the Caribbean (IDA & IBRD countries),TLA,1962,28.4363424,45.0403938
376,Timor-Leste,TLS,1962,15.46738399,1.142857143
377,Middle East & North Africa (IDA & IBRD countries),TMN,1962,23.20165872,17.58946728
378,Tonga,TON,1962,38.88888889,67.85714286
379,South Asia (IDA & IBRD),TSA,1962,55.48039021,2.323870529
380,Sub-Saharan Africa (IDA & IBRD countries),TSS,1962,39.34970738,14.73812826
381,Trinidad and Tobago,TTO,1962,18.90838207,315.7894737
382,Tunisia,TUN,1962,55.52909372,34.36774194
383,Turkey,TUR,1962,47.61768642,18.73805715
384,Tanzania,TZA,1962,29.35199819,32.87128713
385,Uganda,UGA,1962,45.61333267,1.65625
386,Uruguay,URY,1962,92.84081819,105.7178631
387,United States,USA,1962,48.47613703,267.0882859
388,St. Vincent and the Grenadines,VCT,1962,25.64102564,50.0
389,"Venezuela, RB",VEN,1962,21.8831132,41.03448276
390,British Virgin Islands,VGB,1962,40.0,10.0
391,Virgin Islands (U.S.),VIR,1962,34.28571429,145.0
392,Vietnam,VNM,1962,19.34621647,21.8018018
393,Vanuatu,VUT,1962,8.613617719,3.0
394,World,WLD,1962,36.04418011,102.3708086
395,Samoa,WSM,1962,20.14134276,9.090909091
396,"Yemen, Rep.",YEM,1962,44.2222096,3.4564022
397,South Africa,ZAF,1962,82.54540059,105.3302905
398,Zambia,ZMB,1962,26.04285772,10.81504702
399,Zimbabwe,ZWE,1962,28.61574254,66.45994832
400,Africa Eastern and Southern,AFE,1963,43.6811243,30.04423061
401,Afghanistan,AFG,1963,57.91440738,0.258064516
402,Africa Western and Central,AFW,1963,33.81409439,0.696429797
403,Angola,AGO,1963,45.89716852,7.352941176
404,Albania,ALB,1963,45.0,86.36363636
405,Arab World,ARB,1963,27.84552218,22.43404086
406,United Arab Emirates,ARE,1963,2.928752464,252.0
407,Argentina,ARG,1963,49.28398905,71.42857143
408,American Samoa,ASM,1963,15.0,50.0
409,Antigua and Barbuda,ATG,1963,22.72727273,251.25
410,Australia,AUS,1963,62.39922656,184.4500954
411,Austria,AUT,1963,42.25962703,987.3128019
412,Burundi,BDI,1963,62.46105919,0.027624309
413,Belgium,BEL,1963,53.99146862,586.3936064
414,Benin,BEN,1963,13.1429585,0.666666667
415,Burkina Faso,BFA,1963,29.82090643,0.15858209
416,Bangladesh,BGD,1963,72.82784052,0.987797792
417,Bulgaria,BGR,1963,51.45982103,83.53310778
418,"Bahamas, The",BHS,1963,0.999000999,50.0
419,Belize,BLZ,1963,3.507233669,84.86486486
420,Bermuda,BMU,1963,5.555555556,1333.333333
421,Bolivia,BOL,1963,27.51500046,11.50306748
422,Brazil,BRA,1963,19.6662176,37.67164905
423,Barbados,BRB,1963,44.18604651,193.75
424,Brunei Darussalam,BRN,1963,3.984819734,12.5
425,Botswana,BWA,1963,45.87722549,17.54385965
426,Central African Republic,CAF,1963,7.634273973,0.117647059
427,Canada,CAN,1963,6.995300923,152.4323671
428,Switzerland,CHE,1963,43.49322,1490.074762
429,Chile,CHL,1963,18.460537,91.44021739
430,China,CHN,1963,37.01486519,5.797401436
431,Cote d'Ivoire,CIV,1963,49.93710692,2.678571429
432,Cameroon,CMR,1963,16.11981976,0.060784314
433,"Congo, Dem. Rep.",COD,1963,11.071657,1.171875
434,"Congo, Rep.",COG,1963,30.86969253,4.134615385
435,Colombia,COL,1963,37.39792699,57.4084507
436,Cabo Verde,CPV,1963,16.12903226,0.526315789
437,Costa Rica,CRI,1963,27.81041911,156.2807018
438,Caribbean small states,CSS,1963,5.533596838,123.9772727
439,Cuba,CUB,1963,37.59776536,113.0653266
440,Cyprus,CYP,1963,43.83116883,122.7692308
441,Germany,DEU,1963,55.57242288,957.1656391
442,Djibouti,DJI,1963,56.12597066,40.0
443,Dominica,DMA,1963,22.66666667,40.0
444,Denmark,DNK,1963,72.88175596,531.4832362
445,Dominican Republic,DOM,1963,45.9532188,24.45945946
446,Algeria,DZA,1963,18.688018,44.35483871
447,East Asia & Pacific (excluding high income),EAP,1963,36.15225185,6.606268161
448,Early-demographic dividend,EAR,1963,35.94966453,15.02374416
449,East Asia & Pacific,EAS,1963,44.30742012,26.50262741
450,Ecuador,ECU,1963,17.04955931,9.473684211
451,"Egypt, Arab Rep.",EGY,1963,2.501381285,55.946954
452,Euro area,EMU,1963,55.97621303,403.4404606
453,Spain,ESP,1963,66.3031734,70.60166615
454,Ethiopia,ETH,1963,53.02452316,0.25793139
455,European Union,EUU,1963,52.68497126,308.9091122
456,Fragile and conflict affected situations,FCS,1963,29.97612217,4.422109174
457,Finland,FIN,1963,9.214025411,421.443146
458,Fiji,FJI,1963,12.47947455,116.2790698
459,France,FRA,1963,62.73946885,445.9912619
460,United Kingdom,GBR,1963,81.62278345,652.9209622
461,Ghana,GHA,1963,51.41953063,10.58823529
462,Guinea,GIN,1963,59.39687449,2.231759657
463,"Gambia, The",GMB,1963,51.97628458,3.495934959
464,Guinea-Bissau,GNB,1963,48.29302987,0.425531915
465,Greece,GRC,1963,69.9844841,93.22865554
466,Grenada,GRD,1963,64.70588235,26.0
467,Guatemala,GTM,1963,24.91601344,20.45454545
468,Guam,GUM,1963,31.48148148,230.0
469,Guyana,GUY,1963,6.908647247,93.14285714
470,High income,HIC,1963,38.38185268,272.5651072
471,"Hong Kong SAR, China",HKG,1963,13.7254902,1.538461538
472,Honduras,HND,1963,26.7673608,2.358778626
473,Heavily indebted poor countries (HIPC),HPC,1963,34.10660575,3.84484276
474,Haiti,HTI,1963,60.59506531,1.0
475,Hungary,HUN,1963,77.57414195,105.6650626
476,IBRD only,IBD,1963,35.10765373,20.53092504
477,IDA & IBRD total,IBT,1963,35.17593762,16.0670919
478,IDA total,IDA,1963,35.33475522,3.965414783
479,IDA blend,IDB,1963,37.40137729,4.184432611
480,Indonesia,IDN,1963,21.2798843,0.027777778
481,IDA only,IDX,1963,34.87353131,3.834292691
482,India,IND,1963,59.24747493,2.540166381
483,Ireland,IRL,1963,82.31964001,329.9167201
484,"Iran, Islamic Rep.",IRN,1963,36.43876323,7.333333333
485,Iraq,IRQ,1963,20.37176761,9.574468085
486,Iceland,ISL,1963,21.14713217,598.9166667
487,Israel,ISR,1963,24.1219963,290.625
488,Italy,ITA,1963,69.73581313,267.148493
489,Jamaica,JAM,1963,49.39981533,114.4578313
490,Jordan,JOR,1963,12.31867634,46.48351648
491,Japan,JPN,1963,19.14371421,30.80251346
492,Kenya,KEN,1963,44.29490108,17.46
493,Cambodia,KHM,1963,20.06571493,2.852631579
494,Kiribati,KIR,1963,53.08641975,30.0
495,St. Kitts and Nevis,KNA,1963,57.14285714,199.0
496,"Korea, Rep.",KOR,1963,21.77068215,0.119402985
497,Kuwait,KWT,1963,7.575757576,20.0
498,Latin America & Caribbean (excluding high income),LAC,1963,28.77328213,45.14663494
499,Lao PDR,LAO,1963,6.499133449,0.546875
500,Lebanon,LBN,1963,55.71847507,78.88888889
501,Libya,LBY,1963,6.58410721,16.37426901
502,St. Lucia,LCA,1963,29.50819672,60.0
503,Latin America & Caribbean,LCN,1963,28.64561961,49.06188372
504,Least developed countries: UN classification,LDC,1963,35.06752219,3.157584123
