,Country Name,Country Code,year,arableLand,landUnderCerealProduction
85,Italy,ITA,1961,0.254509873,6387203.0
86,Jamaica,JAM,1961,0.100541044,9712.0
87,Jordan,JOR,1961,0.277212231,377707.0
88,Japan,JPN,1961,0.060177556,4868480.0
89,Kenya,KEN,1961,0.417776111,1105697.0
90,Cambodia,KHM,1961,0.483230966,2270080.0
91,"Korea, Rep.",KOR,1961,0.078903431,2073629.0
92,Latin America & Caribbean (excluding high income),LAC,1961,0.390198335,34895075.0
93,Lao PDR,LAO,1961,0.294884672,630000.0
94,Lebanon,LBN,1961,0.092244342,90400.0
95,Liberia,LBR,1961,0.330910161,200000.0
96,Libya,LBY,1961,1.134788889,489000.0
97,St. Lucia,LCA,1961,0.055115854,40.0
98,Latin America & Caribbean,LCN,1961,0.391497863,37264205.0
99,Least developed countries: UN classification,LDC,1961,0.440650993,46901299.0
100,Low income,LIC,1961,0.555361883,27305859.0
101,Sri Lanka,LKA,1961,0.058843082,539171.0
102,Lower middle income,LMC,1961,0.347091125,174389708.0
103,Low & middle income,LMY,1961,0.315608174,364498707.0
104,Lesotho,LSO,1961,0.419748339,271059.0
105,Late-demographic dividend,LTE,1961,0.209272234,141263934.0
106,Morocco,MAR,1961,0.518465434,3772884.0
107,Madagascar,MDG,1961,0.368522546,888000.0
108,Maldives,MDV,1961,0.021661901,179.0
109,Middle East & North Africa,MEA,1961,0.456174042,21185570.0
110,Mexico,MEX,1961,0.500615292,7708027.0
111,Middle income,MIC,1961,0.299565514,337192848.0
112,Mali,MLI,1961,0.307763475,1564005.0
113,Malta,MLT,1961,0.052267487,3649.0
114,Myanmar,MMR,1961,0.445712529,4519316.0
115,Middle East & North Africa (excluding high income),MNA,1961,0.477217893,20750946.0
116,Mongolia,MNG,1961,0.635320781,311000.0
117,Mozambique,MOZ,1961,0.33287402,731500.0
118,Mauritania,MRT,1961,0.304938635,246050.0
119,Mauritius,MUS,1961,0.132205765,119.0
120,Malawi,MWI,1961,0.346874051,878200.0
121,Malaysia,MYS,1961,0.089659783,523153.0
122,North America,NAC,1961,1.075407596,81854822.0
123,Namibia,NAM,1961,0.987256536,85600.0
124,New Caledonia,NCL,1961,0.086206897,1050.0
125,Niger,NER,1961,3.2983184,2107164.0
126,Nigeria,NGA,1961,0.513996418,10621000.0
127,Nicaragua,NIC,1961,0.562911663,243500.0
128,Netherlands,NLD,1961,0.085232799,521762.0
129,Norway,NOR,1961,0.237132251,228117.0
130,Nepal,NPL,1961,0.175898925,1715000.0
131,New Zealand,NZL,1961,1.239823119,124375.0
132,OECD members,OED,1961,0.504288319,175812355.0
133,Oman,OMN,1961,0.03540506,2600.0
134,Other small states,OSS,1961,0.384098304,1103891.0
135,Pakistan,PAK,1961,0.663841267,7858558.0
136,Panama,PAN,1961,0.375282747,192200.0
137,Peru,PER,1961,0.171921669,719295.0
138,Philippines,PHL,1961,0.180442201,5195460.0
139,Papua New Guinea,PNG,1961,0.032650545,659.0
140,Poland,POL,1961,0.532105193,9045900.0
141,Pre-demographic dividend,PRE,1961,0.579620275,36156260.0
142,Puerto Rico,PRI,1961,0.093344146,15872.0
143,"Korea, Dem. People's Rep.",PRK,1961,0.184302691,1432000.0
144,Portugal,PRT,1961,0.280760587,1889916.0
145,Paraguay,PRY,1961,0.358138336,111600.0
146,Post-demographic dividend,PST,1961,0.492961213,146132404.0
147,Romania,ROU,1961,0.531008744,7029100.0
148,Rwanda,RWA,1961,0.161756495,156078.0
149,South Asia,SAS,1961,0.350709648,114373056.0
150,Saudi Arabia,SAU,1961,0.270215689,273500.0
151,Senegal,SEN,1961,0.890060936,961167.0
152,Solomon Islands,SLB,1961,0.082382502,115.0
153,Sierra Leone,SLE,1961,0.150911634,316421.0
154,El Salvador,SLV,1961,0.171432526,297088.0
155,Somalia,SOM,1961,0.316617066,521000.0
156,Sub-Saharan Africa (excluding high income),SSA,1961,0.547642337,45492892.0
157,Sub-Saharan Africa,SSF,1961,0.547540521,45492892.0
158,Small states,SST,1961,0.295836416,1276158.0
159,Sao Tome and Principe,STP,1961,0.015480595,270.0
160,Suriname,SUR,1961,0.094622406,26340.0
161,Sweden,SWE,1961,0.471941615,1383378.0
162,Eswatini,SWZ,1961,0.361151724,106902.0
163,Syrian Arab Republic,SYR,1961,1.301596627,2161829.0
164,Chad,TCD,1961,0.946619112,1275850.0
165,East Asia & Pacific (IDA & IBRD countries),TEA,1961,0.17817824,124791188.0
166,Togo,TGO,1961,1.126744341,373973.0
167,Thailand,THA,1961,0.368478297,6427204.0
168,Latin America & the Caribbean (IDA & IBRD countries),TLA,1961,0.402017397,36972803.0
169,Timor-Leste,TLS,1961,0.144971958,24400.0
170,Middle East & North Africa (IDA & IBRD countries),TMN,1961,0.477217893,20750946.0
171,South Asia (IDA & IBRD),TSA,1961,0.350709648,114373056.0
172,Sub-Saharan Africa (IDA & IBRD countries),TSS,1961,0.547540521,45492892.0
173,Trinidad and Tobago,TTO,1961,0.065910126,5340.0
174,Tunisia,TUN,1961,0.731452776,1125063.0
175,Turkey,TUR,1961,0.817603098,12865300.0
176,Tanzania,TZA,1961,0.502575943,1260100.0
177,Uganda,UGA,1961,0.451042294,992094.0
178,Upper middle income,UMC,1961,0.25290304,162803140.0
179,Uruguay,URY,1961,0.954239288,873465.0
180,United States,USA,1961,0.983336146,64869558.0
181,St. Vincent and the Grenadines,VCT,1961,0.073021127,100.0
182,"Venezuela, RB",VEN,1961,0.343631984,449443.0
183,Vietnam,VNM,1961,0.164854206,5004200.0
184,Vanuatu,VUT,1961,0.152207002,700.0
185,World,WLD,1961,0.360923793,521087414.0
186,"Yemen, Rep.",YEM,1961,0.234005571,1199277.0
187,South Africa,ZAF,1961,0.684754338,6092600.0
188,Zambia,ZMB,1961,0.805541773,932380.0
189,Zimbabwe,ZWE,1961,0.482709771,1377015.0
190,Africa Eastern and Southern,AFE,1962,0.465027617,23310085.0
191,Afghanistan,AFG,1962,0.823402423,3425500.0
192,Africa Western and Central,AFW,1962,0.636950914,23139749.0
193,Angola,AGO,1962,0.481412228,654000.0
194,Albania,ALB,1962,0.254774241,332882.0
195,Arab World,ARB,1962,0.393203579,17344455.0
196,Argentina,ARG,1962,0.906725378,8699220.0
197,Australia,AUS,1962,1.444404515,9154626.0
198,Austria,AUT,1962,0.235768873,897794.0
199,Burundi,BDI,1962,0.24077157,127800.0
200,Belgium,BEL,1962,0.108886883,522291.0
201,Benin,BEN,1962,0.375564796,585468.0
202,Burkina Faso,BFA,1962,0.430213486,1872821.0
203,Bangladesh,BGD,1962,0.169391839,8855818.0
204,Bulgaria,BGR,1962,0.518411081,2451390.0
205,"Bahamas, The",BHS,1962,0.057807287,180.0
206,Belize,BLZ,1962,0.369640217,5419.0
207,Bolivia,BOL,1962,0.34078395,441960.0
208,Brazil,BRA,1962,0.315718641,11522315.0
209,Barbados,BRB,1962,0.068780817,358.0
210,Brunei Darussalam,BRN,1962,0.044700729,2831.0
211,Bhutan,BTN,1962,0.426344691,70400.0
212,Botswana,BWA,1962,0.761774572,49768.0
213,Central African Republic,CAF,1962,1.088982079,154000.0
214,Canada,CAN,1962,1.98425916,18340807.0
215,Switzerland,CHE,1962,0.071351489,184650.0
216,Chile,CHL,1962,0.431761866,1013290.0
217,China,CHN,1962,0.154858284,89761512.0
218,Cote d'Ivoire,CIV,1962,0.445533999,574000.0
219,Cameroon,CMR,1962,0.935405179,909688.0
220,"Congo, Dem. Rep.",COD,1962,0.398972969,701700.0
221,"Congo, Rep.",COG,1962,0.486328556,7100.0
222,Colombia,COL,1962,0.206635274,1196700.0
223,Comoros,COM,1962,0.329611262,10100.0
224,Cabo Verde,CPV,1962,0.180830966,20000.0
225,Costa Rica,CRI,1962,0.198835452,112000.0
226,Caribbean small states,CSS,1962,0.161245014,148791.0
227,Cuba,CUB,1962,0.201917614,294072.0
228,Cyprus,CYP,1962,0.566041655,137794.0
229,Germany,DEU,1962,0.164604809,7145685.0
230,Dominica,DMA,1962,0.12907806,110.0
231,Denmark,DNK,1962,0.596635732,1541998.0
232,Dominican Republic,DOM,1962,0.207326404,91000.0
233,Algeria,DZA,1962,0.5421767,2911300.0
234,East Asia & Pacific (excluding high income),EAP,1962,0.175941652,127752414.0
235,Early-demographic dividend,EAR,1962,0.36929401,199878742.0
236,East Asia & Pacific,EAS,1962,0.176212882,144755755.0
237,Ecuador,ECU,1962,0.354529262,567973.0
238,"Egypt, Arab Rep.",EGY,1962,0.086545876,1975708.0
239,Euro area,EMU,1962,0.288798553,37616493.0
240,Spain,ESP,1962,0.525281493,7252920.0
241,Ethiopia,ETH,1962,0.493467552,6093000.0
242,European Union,EUU,1962,0.343590992,61769075.0
243,Fragile and conflict affected situations,FCS,1962,0.550993059,44448372.0
244,Finland,FIN,1962,0.596489814,1059191.0
245,Fiji,FJI,1962,0.211064024,12857.0
246,France,FRA,1962,0.4076829,9408120.0
247,Gabon,GAB,1962,0.195585632,5980.0
248,United Kingdom,GBR,1962,0.135887324,3201027.0
249,Ghana,GHA,1962,0.240385771,520000.0
250,Guinea,GIN,1962,0.9744068,349445.0
251,"Gambia, The",GMB,1962,0.321148976,89125.0
252,Guinea-Bissau,GNB,1962,0.373681976,101000.0
253,Greece,GRC,1962,0.338887434,1758547.0
254,Grenada,GRD,1962,0.054065159,630.0
255,Guatemala,GTM,1962,0.251221622,715445.0
256,Guam,GUM,1962,0.028733568,50.0
257,Guyana,GUY,1962,0.577285308,100060.0
258,High income,HIC,1962,0.477142871,154414325.0
259,"Hong Kong SAR, China",HKG,1962,0.003933196,11295.0
260,Honduras,HND,1962,0.605386408,318926.0
261,Heavily indebted poor countries (HIPC),HPC,1962,0.551698774,30789570.0
262,Haiti,HTI,1962,0.223926775,453000.0
263,Hungary,HUN,1962,0.516014436,3344059.0
264,IBRD only,IBD,1962,0.281486937,303557373.0
265,IDA & IBRD total,IBT,1962,0.316815381,377724578.0
266,IDA total,IDA,1962,0.483995956,74167205.0
267,IDA blend,IDB,1962,0.566591124,22317718.0
268,Indonesia,IDN,1962,0.194555951,10458000.0
269,IDA only,IDX,1962,0.445956351,51849487.0
270,India,IND,1962,0.334060157,93852008.0
271,Ireland,IRL,1962,0.552529046,432097.0
272,"Iran, Islamic Rep.",IRN,1962,0.64972473,4983000.0
273,Iraq,IRQ,1962,0.605925008,2451402.0
274,Israel,ISR,1962,0.134757959,131626.0
275,Italy,ITA,1962,0.251476775,6485855.0
276,Jamaica,JAM,1962,0.099015807,8579.0
277,Jordan,JOR,1962,0.269134525,400547.0
278,Japan,JPN,1962,0.059199646,4755130.0
279,Kenya,KEN,1962,0.404764565,1260197.0
280,Cambodia,KHM,1962,0.472759592,2387069.0
281,"Korea, Rep.",KOR,1962,0.075359172,2112667.0
282,Latin America & Caribbean (excluding high income),LAC,1962,0.385157487,33805683.0
283,Lao PDR,LAO,1962,0.28814253,602000.0
284,Lebanon,LBN,1962,0.093492166,91435.0
285,Liberia,LBR,1962,0.322290042,210000.0
286,Libya,LBY,1962,1.102646028,563000.0
287,St. Lucia,LCA,1962,0.054411701,40.0
288,Latin America & Caribbean,LCN,1962,0.385741018,36204208.0
289,Least developed countries: UN classification,LDC,1962,0.433381383,48499714.0
290,Low income,LIC,1962,0.54959492,28145509.0
291,Sri Lanka,LKA,1962,0.055737052,568096.0
292,Lower middle income,LMC,1962,0.340749803,178643450.0
293,Low & middle income,LMY,1962,0.311513734,368288352.0
294,Lesotho,LSO,1962,0.406152345,274700.0
295,Late-demographic dividend,LTE,1962,0.207009329,140359368.0
296,Morocco,MAR,1962,0.503249741,3285652.0
297,Madagascar,MDG,1962,0.362447658,941000.0
298,Maldives,MDV,1962,0.021074371,240.0
299,Middle East & North Africa,MEA,1962,0.443170019,21691630.0
300,Mexico,MEX,1962,0.481150566,7652725.0
301,Middle income,MIC,1962,0.295533953,340142843.0
302,Mali,MLI,1962,0.305312758,1601500.0
303,Malta,MLT,1962,0.049397962,3699.0
304,Myanmar,MMR,1962,0.436608807,5001403.0
305,Middle East & North Africa (excluding high income),MNA,1962,0.463961772,21280105.0
306,Mongolia,MNG,1962,0.715891101,380000.0
307,Mozambique,MOZ,1962,0.326348629,702600.0
308,Mauritania,MRT,1962,0.296110637,246050.0
309,Mauritius,MUS,1962,0.129935218,114.0
310,Malawi,MWI,1962,0.364673837,876100.0
311,Malaysia,MYS,1962,0.089498371,550684.0
312,North America,NAC,1962,1.043039767,78888815.0
313,Namibia,NAM,1962,0.963737316,88400.0
314,New Caledonia,NCL,1962,0.083932854,950.0
315,Niger,NER,1962,3.204645859,2317458.0
316,Nigeria,NGA,1962,0.518819784,10634000.0
317,Nicaragua,NIC,1962,0.545716759,251500.0
318,Netherlands,NLD,1962,0.081824957,509284.0
319,Norway,NOR,1962,0.234685145,229522.0
320,Nepal,NPL,1962,0.173102133,1724500.0
321,New Zealand,NZL,1962,1.20467365,125583.0
322,OECD members,OED,1962,0.494198999,174235927.0
323,Oman,OMN,1962,0.034552638,2600.0
324,Other small states,OSS,1962,0.37953689,987560.0
325,Pakistan,PAK,1962,0.650227211,8090856.0
326,Panama,PAN,1962,0.364257219,182700.0
327,Peru,PER,1962,0.179450825,745816.0
328,Philippines,PHL,1962,0.173805607,5110820.0
329,Papua New Guinea,PNG,1962,0.032046502,728.0
330,Poland,POL,1962,0.522262732,8777800.0
331,Pre-demographic dividend,PRE,1962,0.572077309,37461915.0
332,Puerto Rico,PRI,1962,0.086927351,9489.0
333,"Korea, Dem. People's Rep.",PRK,1962,0.181102563,1436000.0
334,Portugal,PRT,1962,0.278297106,2003216.0
335,Paraguay,PRY,1962,0.354317465,115200.0
336,Post-demographic dividend,PST,1962,0.483563671,144715503.0
337,Romania,ROU,1962,0.531254434,6663626.0
338,Rwanda,RWA,1962,0.160501183,177538.0
339,South Asia,SAS,1962,0.345060946,116587418.0
340,Saudi Arabia,SAU,1962,0.265885026,273600.0
341,Senegal,SEN,1962,0.866008445,988000.0
342,Solomon Islands,SLB,1962,0.079974408,120.0
343,Sierra Leone,SLE,1962,0.150705869,288000.0
344,El Salvador,SLV,1962,0.166485455,302463.0
345,Somalia,SOM,1962,0.311737292,515000.0
346,Sub-Saharan Africa (excluding high income),SSA,1962,0.541550764,46449834.0
347,Sub-Saharan Africa,SSF,1962,0.541449701,46449834.0
348,Small states,SST,1962,0.291934099,1150028.0
349,Sao Tome and Principe,STP,1962,0.015509166,270.0
350,Suriname,SUR,1962,0.095428011,27730.0
351,Sweden,SWE,1962,0.460749779,1373709.0
352,Eswatini,SWZ,1962,0.382687667,104139.0
353,Syrian Arab Republic,SYR,1962,1.271682964,2268047.0
354,Chad,TCD,1962,0.928160921,1277450.0
355,East Asia & Pacific (IDA & IBRD countries),TEA,1962,0.175876214,126316414.0
356,Togo,TGO,1962,1.116098418,388664.0
357,Thailand,THA,1962,0.364499847,6870641.0
358,Latin America & the Caribbean (IDA & IBRD countries),TLA,1962,0.395897172,35900109.0
359,Timor-Leste,TLS,1962,0.14239943,29000.0
360,Middle East & North Africa (IDA & IBRD countries),TMN,1962,0.463961772,21280105.0
361,South Asia (IDA & IBRD),TSA,1962,0.345060946,116587418.0
362,Sub-Saharan Africa (IDA & IBRD countries),TSS,1962,0.541449701,46449834.0
363,Trinidad and Tobago,TTO,1962,0.064814267,5585.0
364,Tunisia,TUN,1962,0.720013137,1116346.0
365,Turkey,TUR,1962,0.802245191,12965000.0
366,Tanzania,TZA,1962,0.47409142,1241100.0
367,Uganda,UGA,1962,0.443471333,998093.0
368,Upper middle income,UMC,1962,0.250725803,161499393.0
369,Uruguay,URY,1962,0.920164232,816183.0
370,United States,USA,1962,0.949377607,60548008.0
371,St. Vincent and the Grenadines,VCT,1962,0.072081596,100.0
372,"Venezuela, RB",VEN,1962,0.331702273,553440.0
373,Vietnam,VNM,1962,0.160018868,5150880.0
374,Vanuatu,VUT,1962,0.147507855,700.0
375,World,WLD,1962,0.355173694,523256117.0
376,"Yemen, Rep.",YEM,1962,0.232567869,1233668.0
377,South Africa,ZAF,1962,0.670721312,6207500.0
378,Zambia,ZMB,1962,0.782667233,934554.0
379,Zimbabwe,ZWE,1962,0.479054191,1352412.0
380,Africa Eastern and Southern,AFE,1963,0.465180718,23856074.0
381,Afghanistan,AFG,1963,0.812096571,3426500.0
382,Africa Western and Central,AFW,1963,0.645886115,23521897.0
383,Angola,AGO,1963,0.478923071,645000.0
384,Albania,ALB,1963,0.249628252,298725.0
385,Arab World,ARB,1963,0.384080806,18257526.0
386,Argentina,ARG,1963,0.912098125,11468110.0
387,Australia,AUS,1963,1.404881863,9191184.0
388,Austria,AUT,1963,0.230775309,888269.0
389,Burundi,BDI,1963,0.244230229,141460.0
390,Belgium,BEL,1963,0.107752937,498118.0
391,Benin,BEN,1963,0.377527072,553182.0
392,Burkina Faso,BFA,1963,0.426428122,1940525.0
393,Bangladesh,BGD,1963,0.164840402,9170275.0
394,Bulgaria,BGR,1963,0.512246314,2425275.0
395,"Bahamas, The",BHS,1963,0.054970944,240.0
396,Belize,BLZ,1963,0.369390506,5550.0
397,Bolivia,BOL,1963,0.336152564,475397.0
398,Brazil,BRA,1963,0.313395588,12565288.0
399,Barbados,BRB,1963,0.068483769,376.0
400,Brunei Darussalam,BRN,1963,0.042762455,2821.0
401,Bhutan,BTN,1963,0.415750284,72600.0
402,Botswana,BWA,1963,0.744830985,48460.0
403,Central African Republic,CAF,1963,1.076375148,155000.0
404,Canada,CAN,1963,1.964775364,18556188.0
405,Switzerland,CHE,1963,0.068121386,175300.0
406,Chile,CHL,1963,0.425414345,991550.0
407,China,CHN,1963,0.150810086,91216574.0
408,Cote d'Ivoire,CIV,1963,0.428721262,586000.0
409,Cameroon,CMR,1963,0.924230497,903695.0
410,"Congo, Dem. Rep.",COD,1963,0.388778209,660300.0
411,"Congo, Rep.",COG,1963,0.474176529,9600.0
412,Colombia,COL,1963,0.201361567,1119160.0
413,Comoros,COM,1963,0.324398241,11350.0
414,Cabo Verde,CPV,1963,0.175855095,20000.0
415,Costa Rica,CRI,1963,0.191718436,108450.0
416,Caribbean small states,CSS,1963,0.158836164,130596.0
417,Cuba,CUB,1963,0.208833445,263000.0
418,Cyprus,CYP,1963,0.562363519,138730.0
419,Germany,DEU,1963,0.162820121,7168885.0
420,Dominica,DMA,1963,0.127151644,115.0
421,Denmark,DNK,1963,0.58576368,1569717.0
422,Dominican Republic,DOM,1963,0.203402316,91400.0
423,Algeria,DZA,1963,0.520448593,2891420.0
424,East Asia & Pacific (excluding high income),EAP,1963,0.171566239,127817575.0
425,Early-demographic dividend,EAR,1963,0.363112407,202599935.0
426,East Asia & Pacific,EAS,1963,0.17188238,144786097.0
427,Ecuador,ECU,1963,0.345524977,598034.0
428,"Egypt, Arab Rep.",EGY,1963,0.083577569,1944683.0
429,Euro area,EMU,1963,0.285535943,36986314.0
430,Spain,ESP,1963,0.517787031,7228312.0
431,Ethiopia,ETH,1963,0.488729965,6113700.0
432,European Union,EUU,1963,0.338834997,61079598.0
433,Fragile and conflict affected situations,FCS,1963,0.551606527,44325169.0
434,Finland,FIN,1963,0.595913302,1056400.0
435,Fiji,FJI,1963,0.197110724,12263.0
436,France,FRA,1963,0.400451816,9159745.0
437,Gabon,GAB,1963,0.212530406,5740.0
438,United Kingdom,GBR,1963,0.135601118,3261715.0
439,Ghana,GHA,1963,0.232872757,497756.0
440,Guinea,GIN,1963,0.951652253,350145.0
441,"Gambia, The",GMB,1963,0.317308809,78530.0
442,Guinea-Bissau,GNB,1963,0.370074078,101000.0
443,Greece,GRC,1963,0.360511225,1644087.0
444,Grenada,GRD,1963,0.053528033,630.0
445,Guatemala,GTM,1963,0.243986617,778597.0
446,Guam,GUM,1963,0.028054819,50.0
447,Guyana,GUY,1963,0.562176748,81519.0
448,High income,HIC,1963,0.473963286,155739707.0
449,"Hong Kong SAR, China",HKG,1963,0.00380017,7877.0
450,Honduras,HND,1963,0.590965358,314969.0
451,Heavily indebted poor countries (HIPC),HPC,1963,0.548759817,31210114.0
452,Haiti,HTI,1963,0.219632457,453000.0
453,Hungary,HUN,1963,0.514970985,3173391.0
454,IBRD only,IBD,1963,0.276397633,308514229.0
455,IDA & IBRD total,IBT,1963,0.312431356,384062723.0
456,IDA total,IDA,1963,0.482900634,75548494.0
457,IDA blend,IDB,1963,0.571969764,22550432.0
458,Indonesia,IDN,1963,0.189443184,9290000.0
459,IDA only,IDX,1963,0.441897226,52998062.0
460,India,IND,1963,0.328867127,93571016.0
461,Ireland,IRL,1963,0.547210488,402746.0
462,"Iran, Islamic Rep.",IRN,1963,0.633439365,4783000.0
463,Iraq,IRQ,1963,0.595773054,1817699.0
464,Israel,ISR,1963,0.134510298,131758.0
465,Italy,ITA,1963,0.247287911,6299467.0
466,Jamaica,JAM,1963,0.097437282,8619.0
467,Jordan,JOR,1963,0.259947515,289041.0
468,Japan,JPN,1963,0.058081335,4609500.0
469,Kenya,KEN,1963,0.392002697,1369115.0
470,Cambodia,KHM,1963,0.460897609,2348000.0
471,"Korea, Rep.",KOR,1963,0.073729684,2178119.0
472,Latin America & Caribbean (excluding high income),LAC,1963,0.380706131,38340270.0
473,Lao PDR,LAO,1963,0.281522615,610000.0
474,Lebanon,LBN,1963,0.090680146,72900.0
475,Liberia,LBR,1963,0.315490235,239000.0
476,Libya,LBY,1963,1.063983355,503000.0
477,St. Lucia,LCA,1963,0.053640011,24.0
478,Latin America & Caribbean,LCN,1963,0.380629434,40600968.0
479,Least developed countries: UN classification,LDC,1963,0.430110041,49487845.0
480,Low income,LIC,1963,0.541490189,28593714.0
481,Sri Lanka,LKA,1963,0.074734494,582457.0
482,Lower middle income,LMC,1963,0.337277757,178952842.0
483,Low & middle income,LMY,1963,0.307374525,374713060.0
484,Lesotho,LSO,1963,0.398392436,274700.0
485,Late-demographic dividend,LTE,1963,0.202642085,143936207.0
486,Morocco,MAR,1963,0.493381089,4326300.0
487,Madagascar,MDG,1963,0.356340927,950000.0
488,Maldives,MDV,1963,0.020504408,292.0
489,Middle East & North Africa,MEA,1963,0.432553176,22391847.0
490,Mexico,MEX,1963,0.464517552,8440920.0
491,Middle income,MIC,1963,0.291697344,346119346.0
492,Mali,MLI,1963,0.302851101,1641059.0
493,Malta,MLT,1963,0.046504418,3513.0
494,Myanmar,MMR,1963,0.427618684,5227904.0
495,Middle East & North Africa (excluding high income),MNA,1963,0.452995763,21966587.0
496,Mongolia,MNG,1963,0.699356381,394000.0
497,Mozambique,MOZ,1963,0.319683728,716700.0
498,Mauritania,MRT,1963,0.287485653,252600.0
499,Mauritius,MUS,1963,0.126589146,114.0
500,Malawi,MWI,1963,0.368589654,890561.0
501,Malaysia,MYS,1963,0.089245448,562184.0
502,North America,NAC,1963,1.041202629,80976396.0
503,Namibia,NAM,1963,0.940388743,88450.0
504,New Caledonia,NCL,1963,0.08168028,900.0
505,Niger,NER,1963,3.112898401,2385998.0
506,Nigeria,NGA,1963,0.552056868,10741000.0
507,Nicaragua,NIC,1963,0.529225584,223100.0
508,Netherlands,NLD,1963,0.079308265,488375.0
509,Norway,NOR,1963,0.232371854,232243.0
510,Nepal,NPL,1963,0.171246117,1725500.0
