,Country Name,Country Code,year,population,GDP,agriculturalGDP
74,"Iran, Islamic Rep.",IRN,1961,22480371.0,4426949095.0,24.90256843
75,Kenya,KEN,1961,8377693.0,792959472.1,34.07310224
76,"Korea, Rep.",KOR,1961,25765673.0,2417558289.0,38.68209089
77,Sri Lanka,LKA,1961,10111639.0,1444327731.0,32.90995044
78,Low & middle income,LMY,1961,2293657434.0,328875000000.0,31.72505606
79,Lesotho,LSO,1961,852892.0,35699286.01,89.4145098
80,Late-demographic dividend,LTE,1961,1099284940.0,173691000000.0,26.94231931
81,Middle income,MIC,1961,2152809007.0,316327000000.0,31.50477965
82,Mauritania,MRT,1961,875586.0,159213140.0,33.47136147
83,Malawi,MWI,1961,3747758.0,174576508.5,48.59663192
84,Malaysia,MYS,1961,8417821.0,1901868548.0,45.38215218
85,Niger,NER,1961,3486322.0,485785234.9,73.88716501
86,Pakistan,PAK,1961,46065229.0,4118647627.0,41.72742569
87,Peru,PER,1961,10446618.0,2899654840.0,19.15635254
88,Philippines,PHL,1961,27161052.0,8171186334.0,23.64538166
89,Papua New Guinea,PNG,1961,2297052.0,244832035.0,49.03934126
90,South Asia,SAS,1961,584939711.0,50331770781.0,42.60023747
91,Sudan,SDN,1961,7769475.0,1419333333.0,51.50305308
92,Senegal,SEN,1961,3295280.0,1058975266.0,23.68080626
93,Singapore,SGP,1961,1702400.0,764634783.7,3.511769983
94,Somalia,SOM,1961,2814125.0,191659914.4,64.16365413
95,Suriname,SUR,1961,295913.0,107700000.0,9.285051068
96,Eswatini,SWZ,1961,343346.0,43025199.5,30.26073036
97,Chad,TCD,1961,3060365.0,333975338.8,38.73780358
98,East Asia & Pacific (IDA & IBRD countries),TEA,1961,882807979.0,71507028612.0,39.65521006
99,Togo,TGO,1961,1597523.0,126396469.7,55.1612753
100,Thailand,THA,1961,28224186.0,3034043574.0,35.83823047
101,South Asia (IDA & IBRD),TSA,1961,584939711.0,50331770781.0,42.60023747
102,Turkey,TUR,1961,28146909.0,7988888889.0,51.73852573
103,Uganda,UGA,1961,6983824.0,441524109.0,49.92284207
104,Upper middle income,UMC,1961,1140113724.0,219626000000.0,25.19530306
105,South Africa,ZAF,1961,17524533.0,7972996814.0,11.00965759
106,Zambia,ZMB,1961,3164330.0,696285714.3,12.76159212
107,Benin,BEN,1962,2502897.0,236434906.8,44.70927268
108,Burkina Faso,BFA,1962,4960328.0,379567023.3,37.85878292
109,Bangladesh,BGD,1962,50752150.0,5081413340.0,57.01857402
110,Brazil,BRA,1962,76514329.0,19231747852.0,16.09562215
111,Botswana,BWA,1962,523777.0,35643207.63,40.67604614
112,Chile,CHL,1962,8476895.0,5416272727.0,9.201911166
113,China,CHN,1962,665770000.0,47209359006.0,38.98640509
114,Cote d'Ivoire,CIV,1962,3770756.0,645284344.7,45.90405268
115,"Congo, Rep.",COG,1962,1069236.0,166521239.9,19.80472225
116,Costa Rica,CRI,1962,1433346.0,479180824.3,25.8268969
117,East Asia & Pacific (excluding high income),EAP,1962,906413903.0,65391067390.0,43.04672283
118,East Asia & Pacific,EAS,1962,1058119847.0,158364000000.0,28.16689554
119,Ecuador,ECU,1962,4809194.0,1518208221.0,35.25290294
120,France,FRA,1962,47904879.0,75607529810.0,9.832003655
121,Gabon,GAB,1962,511285.0,182796536.5,35.88546586
122,Ghana,GHA,1962,7071966.0,1382515590.0,37.89260385
123,Guyana,GUY,1962,606286.0,194948375.4,23.45900658
124,Honduras,HND,1962,2155648.0,387750000.0,35.39651838
125,IBRD only,IBD,1962,1974018983.0,316983000000.0,27.84217149
126,IDA & IBRD total,IBT,1962,2372380699.0,360331000000.0,30.29137394
127,India,IND,1962,469077191.0,42161481859.0,38.3713352
128,"Iran, Islamic Rep.",IRN,1962,23071309.0,4693566416.0,23.82749641
129,Kenya,KEN,1962,8647002.0,868111400.0,37.57419488
130,"Korea, Rep.",KOR,1962,26513030.0,2814318517.0,36.63423167
131,Sri Lanka,LKA,1962,10352180.0,1434156379.0,31.09252254
132,Low & middle income,LMY,1962,2336352877.0,337428000000.0,31.75986802
133,Lesotho,LSO,1962,869132.0,41859162.82,88.18494983
134,Late-demographic dividend,LTE,1962,1113927919.0,176932000000.0,27.58638403
135,Middle income,MIC,1962,2192361842.0,323058000000.0,31.64844087
136,Mauritania,MRT,1962,901690.0,164271590.8,32.7253038
137,Malawi,MWI,1962,3839047.0,183116337.7,48.62385321
138,Malaysia,MYS,1962,8692337.0,2001502679.0,42.96866166
139,Niger,NER,1962,3588228.0,531736492.9,75.99760963
140,Pakistan,PAK,1962,47198886.0,4310163797.0,40.02923264
141,Peru,PER,1962,10749463.0,3286773188.0,18.16816283
142,Philippines,PHL,1962,28077345.0,4954529277.0,23.80502357
143,Papua New Guinea,PNG,1962,2340349.0,261184037.4,47.38421955
144,South Asia,SAS,1962,597494450.0,53721519494.0,40.70537171
145,Sudan,SDN,1962,8004122.0,1541666667.0,49.88108108
146,Senegal,SEN,1962,3386803.0,1085475573.0,22.54462733
147,Singapore,SGP,1962,1750200.0,826244610.0,3.589926067
148,Somalia,SOM,1962,2874215.0,203531927.5,64.94705891
149,Suriname,SUR,1962,303894.0,116150000.0,8.78174774
150,Eswatini,SWZ,1962,350155.0,45927061.46,34.75005868
151,Chad,TCD,1962,3121226.0,357635713.9,38.47377093
152,East Asia & Pacific (IDA & IBRD countries),TEA,1962,894536202.0,65298535416.0,42.97615948
153,Togo,TGO,1962,1612761.0,132237441.6,53.39504558
154,Thailand,THA,1962,29080945.0,3308912797.0,34.00270049
155,South Asia (IDA & IBRD),TSA,1962,597494450.0,53721519494.0,40.70537171
156,Turkey,TUR,1962,28832831.0,8922222222.0,52.80199253
157,Uganda,UGA,1962,7215799.0,449012578.6,49.18082538
158,Upper middle income,UMC,1962,1156186962.0,225124000000.0,25.93903924
159,South Africa,ZAF,1962,17965733.0,8497996604.0,10.57660626
160,Zambia,ZMB,1962,3260645.0,693142857.1,12.34542457
161,Benin,BEN,1963,2542864.0,253927646.5,43.71836971
162,Burkina Faso,BFA,1963,5027811.0,394040588.3,38.49363408
163,Bangladesh,BGD,1963,52202008.0,5319458351.0,57.14666817
164,Brazil,BRA,1963,78772647.0,23287712878.0,14.9527276
165,Botswana,BWA,1963,535692.0,38091150.57,39.7267916
166,Chile,CHL,1963,8650390.0,5668187500.0,7.937608319
167,China,CHN,1963,682335000.0,50706799903.0,39.85420171
168,Cote d'Ivoire,CIV,1963,3918630.0,761047045.8,44.16710415
169,"Congo, Rep.",COG,1963,1096638.0,172233430.9,20.95408198
170,Costa Rica,CRI,1963,1486555.0,511902136.8,24.46389466
171,East Asia & Pacific (excluding high income),EAP,1963,929634719.0,70837966442.0,43.45982219
172,East Asia & Pacific,EAS,1963,1083884354.0,176704000000.0,28.22769226
173,Ecuador,ECU,1963,4948991.0,1824344492.0,34.19574995
174,Fiji,FJI,1963,436303.0,129454728.6,37.84046693
175,France,FRA,1963,48582624.0,84759195106.0,8.828416465
176,Gabon,GAB,1963,517573.0,154480244.2,44.08357341
177,Ghana,GHA,1963,7300124.0,1540797517.0,35.90909091
178,Guyana,GUY,1963,622580.0,175756868.7,24.46067043
179,Honduras,HND,1963,2216712.0,410200000.0,34.41004388
180,IBRD only,IBD,1963,2019553695.0,340014000000.0,29.17054986
181,IDA & IBRD total,IBT,1963,2427869417.0,389079000000.0,31.18904203
182,India,IND,1963,478825602.0,48421923459.0,39.31975131
183,"Iran, Islamic Rep.",IRN,1963,23680246.0,4928628018.0,22.25721814
184,Kenya,KEN,1963,8928510.0,926589348.6,38.44981142
185,"Korea, Rep.",KOR,1963,27261747.0,3988784572.0,43.10371427
186,Sri Lanka,LKA,1963,10597516.0,1240672269.0,32.34974143
187,Low & middle income,LMY,1963,2391244202.0,364894000000.0,32.70495932
188,Lesotho,LSO,1963,886061.0,47039059.22,83.78125
189,Late-demographic dividend,LTE,1963,1139889997.0,193666000000.0,27.41882444
190,Middle income,MIC,1963,2243997513.0,346356000000.0,32.98540845
191,Mauritania,MRT,1963,928742.0,168186331.3,33.07536266
192,Malawi,MWI,1963,3933914.0,190816183.7,49.2296405
193,Malaysia,MYS,1963,8973791.0,2510126748.0,35.12365305
194,Niger,NER,1963,3693985.0,586294761.5,72.94795443
195,Pakistan,PAK,1963,48387293.0,4630827383.0,38.84001451
196,Peru,PER,1963,11062295.0,3600957771.0,17.08367166
197,Philippines,PHL,1963,29012630.0,5505055618.0,24.40456161
198,Papua New Guinea,PNG,1963,2385943.0,275968039.5,44.03409091
199,Puerto Rico,PRI,1963,2504530.0,2333600000.0,8.994686322
200,South Asia,SAS,1963,610498308.0,60426255395.0,41.35440374
201,Sudan,SDN,1963,8248818.0,1568333333.0,44.84590861
202,Senegal,SEN,1963,3481654.0,1122139637.0,23.29377695
203,Singapore,SGP,1963,1795000.0,917614007.6,3.250266999
204,Somalia,SOM,1963,2936478.0,216145935.9,64.03267113
205,Suriname,SUR,1963,311945.0,125950000.0,8.773322747
206,Eswatini,SWZ,1963,357279.0,54128377.43,38.79587936
207,Chad,TCD,1963,3183576.0,371767002.7,38.02698412
208,East Asia & Pacific (IDA & IBRD countries),TEA,1963,917563058.0,70737726806.0,43.38858167
209,Togo,TGO,1963,1631758.0,143255784.5,51.85181137
210,Thailand,THA,1963,29966873.0,3540403457.0,33.06552313
211,South Asia (IDA & IBRD),TSA,1963,610498308.0,60426255395.0,41.35440374
212,Turkey,TUR,1963,29531362.0,10355555556.0,53.32618026
213,Uganda,UGA,1963,7461636.0,516147798.7,47.51292127
214,Upper middle income,UMC,1963,1183604156.0,236170000000.0,27.36785432
215,South Africa,ZAF,1963,18423157.0,9423396235.0,10.38478681
216,Zambia,ZMB,1963,3360099.0,718714285.7,13.01928046
217,Benin,BEN,1964,2585961.0,269818988.3,45.52815226
218,Burkina Faso,BFA,1964,5098891.0,410321618.2,38.68111026
219,Bangladesh,BGD,1964,53741721.0,5386054619.0,53.35683665
220,Brazil,BRA,1964,81064572.0,20963733695.0,16.025741
221,Botswana,BWA,1964,547870.0,41613969.05,38.57224696
222,Chile,CHL,1964,8821855.0,5982347826.0,8.560548363
223,China,CHN,1964,698355000.0,59708343489.0,38.02979795
224,Cote d'Ivoire,CIV,1964,4071411.0,921063266.4,39.80135978
225,"Congo, Rep.",COG,1964,1125354.0,185693724.8,21.10970788
226,Costa Rica,CRI,1964,1539942.0,542578367.2,24.56903447
227,East Asia & Pacific (excluding high income),EAP,1964,952494226.0,81755910516.0,41.78024493
228,East Asia & Pacific,EAS,1964,1109291332.0,202684000000.0,27.08261027
229,Ecuador,ECU,1964,5093848.0,2244146868.0,31.83585662
230,Fiji,FJI,1964,450538.0,140032741.5,33.00359712
231,France,FRA,1964,49230585.0,94007851047.0,7.98671472
232,Gabon,GAB,1964,524891.0,215679855.3,30.18042888
233,Ghana,GHA,1964,7524470.0,1731296119.0,35.35598706
234,Guyana,GUY,1964,637835.0,194773376.9,21.95268044
235,Honduras,HND,1964,2280044.0,457000000.0,34.48577681
236,IBRD only,IBD,1964,2065153294.0,384791000000.0,29.02619776
237,IDA & IBRD total,IBT,1964,2483839827.0,431555000000.0,31.27652851
238,India,IND,1964,488848139.0,56480289941.0,41.18773833
239,"Iran, Islamic Rep.",IRN,1964,24307855.0,5379845648.0,20.7660665
240,Kenya,KEN,1964,9222692.0,998759333.6,36.83208018
241,"Korea, Rep.",KOR,1964,27984155.0,3458939358.0,46.52687649
242,Sri Lanka,LKA,1964,10849977.0,1309747899.0,30.96238539
243,Low & middle income,LMY,1964,2446616794.0,408688000000.0,32.47380211
244,Lesotho,LSO,1964,903757.0,51938961.22,81.71428571
245,Late-demographic dividend,LTE,1964,1165421495.0,212629000000.0,27.24503428
246,Middle income,MIC,1964,2295948515.0,394304000000.0,32.30882135
247,Mauritania,MRT,1964,956794.0,224495789.3,26.8614727
248,Malawi,MWI,1964,4032364.0,194736105.3,48.09489576
249,Malaysia,MYS,1964,9253827.0,2674441396.0,33.27378405
250,Niger,NER,1964,3802802.0,582816358.3,74.3240386
251,Pakistan,PAK,1964,49627623.0,5204955901.0,38.3240539
252,Peru,PER,1964,11383364.0,4356913870.0,16.50746863
253,Philippines,PHL,1964,29958687.0,5953766854.0,23.75972784
254,Papua New Guinea,PNG,1964,2434220.0,305312043.7,42.55319149
255,Puerto Rico,PRI,1964,2554066.0,2570500000.0,7.453802762
256,South Asia,SAS,1964,623943328.0,69179494304.0,42.45650138
257,Sudan,SDN,1964,8503989.0,1611333333.0,41.82871328
258,Senegal,SEN,1964,3580241.0,1188930568.0,23.72780335
259,Singapore,SGP,1964,1841600.0,894159153.3,3.331871986
260,Sierra Leone,SLE,1964,2466671.0,371848114.7,34.83705024
261,Somalia,SOM,1964,3001160.0,229529912.7,64.51359142
262,Suriname,SUR,1964,320267.0,134400000.0,9.040178571
263,Eswatini,SWZ,1964,365120.0,64979280.41,36.84177642
264,Chad,TCD,1964,3246527.0,392247517.6,36.59102185
265,East Asia & Pacific (IDA & IBRD countries),TEA,1964,940205341.0,81640221385.0,41.71175762
266,Togo,TGO,1964,1662073.0,166104067.6,48.89430678
267,Thailand,THA,1964,30881136.0,3889129942.0,30.63419929
268,South Asia (IDA & IBRD),TSA,1964,623943328.0,69179494304.0,42.45650138
269,Turkey,TUR,1964,30244258.0,11177777778.0,50.49701789
270,Uganda,UGA,1964,7719108.0,589056603.8,47.24339811
271,Upper middle income,UMC,1964,1210649304.0,271040000000.0,25.73851983
272,South Africa,ZAF,1964,18896303.0,10373995855.0,9.001349528
273,Zambia,ZMB,1964,3463211.0,839428571.4,11.98093941
274,Argentina,ARG,1965,22159644.0,28344705967.0,12.90416299
275,Benin,BEN,1965,2632361.0,289908720.6,44.61942503
276,Burkina Faso,BFA,1965,5174874.0,422916848.4,35.41478443
277,Bangladesh,BGD,1965,55385114.0,5906636557.0,52.81869477
278,Brazil,BRA,1965,83373533.0,22465522884.0,16.17305804
279,Botswana,BWA,1965,559996.0,45790869.75,33.84146341
280,Chile,CHL,1965,8989607.0,6026593750.0,8.847345253
281,China,CHN,1965,715185000.0,70436266147.0,37.54901961
282,Cote d'Ivoire,CIV,1965,4226843.0,919771356.4,39.6184607
283,Cameroon,CMR,1965,5773538.0,814083378.5,32.73182909
284,"Congo, Rep.",COG,1965,1155389.0,198318063.9,19.13580059
285,Colombia,COL,1965,18725242.0,5760761905.0,27.28640391
286,Costa Rica,CRI,1965,1592834.0,592981162.3,23.52042645
287,Dominican Republic,DOM,1965,3877768.0,888100000.0,23.24062606
288,East Asia & Pacific (excluding high income),EAP,1965,976360559.0,95172561308.0,41.54514284
289,Early-demographic dividend,EAR,1965,1103859981.0,213681000000.0,28.73562447
290,East Asia & Pacific,EAS,1965,1135760430.0,225588000000.0,27.52529036
291,Ecuador,ECU,1965,5243980.0,2387048255.0,31.31307882
292,"Egypt, Arab Rep.",EGY,1965,30433024.0,4948667540.0,25.69410726
293,Fiji,FJI,1965,463960.0,147084750.0,30.30821918
294,France,FRA,1965,49818019.0,101537000000.0,7.787024679
295,Gabon,GAB,1965,533357.0,226474285.6,26.30630631
296,Ghana,GHA,1965,7739463.0,2053462872.0,43.51978172
297,Guatemala,GTM,1965,4774984.0,1331399900.0,28.73376361
298,Guyana,GUY,1965,651865.0,213235294.1,21.57241379
299,Honduras,HND,1965,2346005.0,508650000.0,36.43959501
300,IBRD only,IBD,1965,2111931236.0,422344000000.0,28.36055293
301,IDA & IBRD total,IBT,1965,2541414856.0,475140000000.0,30.59775281
302,India,IND,1965,499123328.0,59554854575.0,38.95214348
303,"Iran, Islamic Rep.",IRN,1965,24954865.0,6197319929.0,18.59561661
304,Jordan,JOR,1965,1173603.0,599831979.8,14.14565826
305,Kenya,KEN,1965,9530163.0,997919320.0,32.41863985
306,"Korea, Rep.",KOR,1965,28704674.0,3120833333.0,37.52991977
307,Latin America & Caribbean (excluding high income),LAC,1965,226126959.0,98291097178.0,16.43446955
308,Latin America & Caribbean,LCN,1965,251760583.0,119245000000.0,14.90402433
309,Sri Lanka,LKA,1965,11110825.0,1698319328.0,28.56488687
310,Low & middle income,LMY,1965,2503757914.0,451938000000.0,31.63778078
311,Lesotho,LSO,1965,922307.0,54878902.42,79.28622449
312,Late-demographic dividend,LTE,1965,1191679434.0,238939000000.0,27.81891477
313,Morocco,MAR,1965,14230163.0,2948325264.0,23.44504021
314,Mexico,MEX,1965,44123863.0,21840000000.0,13.14923077
315,Middle income,MIC,1965,2349465399.0,435013000000.0,31.53068562
316,Mauritania,MRT,1965,985907.0,255340526.7,24.89817368
317,Malawi,MWI,1965,4134464.0,229455410.9,47.95607077
318,Malaysia,MYS,1965,9526558.0,2956356984.0,31.00663757
319,Niger,NER,1965,3914118.0,673383604.2,67.70391961
320,Nepal,NPL,1965,10972912.0,735267082.3,64.58407648
321,Oman,OMN,1965,625006.0,63287594.51,60.61946903
322,Pakistan,PAK,1965,50917975.0,5929231415.0,36.96830175
323,Peru,PER,1965,11711402.0,5166861068.0,16.07628123
324,Philippines,PHL,1965,30909997.0,6517304758.0,24.26698616
325,Papua New Guinea,PNG,1965,2485433.0,344159480.3,41.58802473
326,Puerto Rico,PRI,1965,2594000.0,2881500000.0,6.153045289
327,Paraguay,PRY,1965,2172309.0,443587301.6,36.70829457
328,Rwanda,RWA,1965,3235536.0,148799980.0,74.7917036
329,South Asia,SAS,1965,637823175.0,74296512694.0,40.16644722
330,Sudan,SDN,1965,8770094.0,1679333333.0,41.94124653
331,Senegal,SEN,1965,3682879.0,1210058396.0,24.98596676
332,Singapore,SGP,1965,1886900.0,974650463.9,3.070116638
333,Sierra Leone,SLE,1965,2508226.0,359379856.2,31.04791586
334,El Salvador,SLV,1965,3201310.0,877720000.0,41.37538167
335,Somalia,SOM,1965,3068465.0,243724533.2,63.43845254
336,Suriname,SUR,1965,328939.0,154150000.0,9.211806682
337,Eswatini,SWZ,1965,373925.0,70278594.43,33.06772908
338,Chad,TCD,1965,3309583.0,416926303.0,35.84345212
339,East Asia & Pacific (IDA & IBRD countries),TEA,1965,963806224.0,95037886875.0,41.47704091
340,Togo,TGO,1965,1708631.0,187300336.4,44.66232181
341,Thailand,THA,1965,31822656.0,4388937649.0,31.92324563
342,Latin America & the Caribbean (IDA & IBRD countries),TLA,1965,240564863.0,111548000000.0,15.21514513
343,South Asia (IDA & IBRD),TSA,1965,637823175.0,74296512694.0,40.16644722
344,Tunisia,TUN,1965,4547941.0,991047619.0,20.79569479
345,Turkey,TUR,1965,30972996.0,11966666667.0,46.14670381
346,Uganda,UGA,1965,7986062.0,884873949.6,49.06616018
347,Upper middle income,UMC,1965,1238612642.0,302822000000.0,25.77583507
348,South Africa,ZAF,1965,19384838.0,11334395471.0,8.757411067
349,Zambia,ZMB,1965,3570466.0,1082857143.0,14.31398417
350,Zimbabwe,ZWE,1965,4471178.0,1311435800.0,18.76438023
351,Argentina,ARG,1966,22494031.0,28630474728.0,10.27875747
352,Benin,BEN,1966,2682159.0,302925280.8,45.14781983
353,Burkina Faso,BFA,1966,5256360.0,433889831.6,36.26719737
354,Bangladesh,BGD,1966,57157651.0,6439687598.0,53.94737058
355,Brazil,BRA,1966,85696502.0,28283323733.0,12.74068708
356,Botswana,BWA,1966,571957.0,51464435.15,39.29539295
357,Chile,CHL,1966,9152848.0,7072641026.0,9.265601218
358,China,CHN,1966,735400000.0,76720285970.0,37.17901202
359,Cote d'Ivoire,CIV,1966,4383723.0,1024103034.0,37.44038089
360,Cameroon,CMR,1966,5909874.0,851112662.7,31.85079416
361,"Congo, Rep.",COG,1966,1186782.0,220613582.4,19.18819188
362,Colombia,COL,1966,19279734.0,5428518519.0,26.60844648
363,Costa Rica,CRI,1966,1645076.0,647305630.2,23.1811409
364,Denmark,DNK,1966,4797381.0,11931739859.0,6.689240852
365,Dominican Republic,DOM,1966,3999796.0,983900000.0,21.91279602
366,East Asia & Pacific (excluding high income),EAP,1966,1003799539.0,104069000000.0,41.34351345
367,Early-demographic dividend,EAR,1966,1130947721.0,210842000000.0,27.22158412
368,East Asia & Pacific,EAS,1966,1165660993.0,252070000000.0,26.85410514
369,Ecuador,ECU,1966,5399423.0,2429309514.0,28.03374593
370,"Egypt, Arab Rep.",EGY,1966,31237597.0,5278005612.0,24.88447225
371,Fiji,FJI,1966,476399.0,150603925.5,29.0726817
372,France,FRA,1966,50330268.0,110046000000.0,7.593026344
373,Gabon,GAB,1966,543119.0,245849781.7,25.16556708
374,Ghana,GHA,1966,7941418.0,2126300573.0,43.28063241
375,"Gambia, The",GMB,1966,415478.0,44212353.7,32.23559215
376,Guatemala,GTM,1966,4910790.0,1390700000.0,28.51248292
377,Guyana,GUY,1966,664518.0,228705882.4,19.08436214
378,Honduras,HND,1966,2414805.0,549950000.0,36.16692427
379,IBRD only,IBD,1966,2161881347.0,435934000000.0,26.96103327
380,IDA & IBRD total,IBT,1966,2602626879.0,493655000000.0,29.19586683
381,India,IND,1966,509631509.0,45865462034.0,40.02544761
382,"Iran, Islamic Rep.",IRN,1966,25624380.0,6789938672.0,17.44181878
383,Jordan,JOR,1966,1267063.0,658078969.5,10.04255319
384,Kenya,KEN,1966,9851453.0,1164519673.0,34.70785829
385,"Korea, Rep.",KOR,1966,29435571.0,3928908381.0,34.39548998
386,Latin America & Caribbean (excluding high income),LAC,1966,232233929.0,108647000000.0,14.199599
387,Latin America & Caribbean,LCN,1966,258440584.0,131287000000.0,13.05731816
388,Sri Lanka,LKA,1966,11380665.0,1751470588.0,28.68265285
389,Low & middle income,LMY,1966,2564648351.0,468658000000.0,30.20274834
390,Lesotho,LSO,1966,941798.0,56698866.02,55.35432099
391,Late-demographic dividend,LTE,1966,1220687497.0,266160000000.0,26.61666609
392,Morocco,MAR,1966,14595351.0,2876395613.0,21.0016488
393,Madagascar,MDG,1966,5918592.0,900264583.7,22.67536052
394,Mexico,MEX,1966,45519746.0,24320000000.0,12.09305921
395,Middle income,MIC,1966,2406516627.0,450148000000.0,30.17213729
396,Mauritania,MRT,1966,1016093.0,266533659.2,24.95415673
397,Malawi,MWI,1966,4240430.0,260394792.1,45.91397849
398,Malaysia,MYS,1966,9790083.0,3143538482.0,31.54123558
399,Niger,NER,1966,4027969.0,702296184.4,66.87473439
400,Nepal,NPL,1966,11172530.0,906811943.8,68.69300568
401,Oman,OMN,1966,642007.0,67768132.18,58.67768595
402,Pakistan,PAK,1966,52260183.0,6561108778.0,33.83689668
403,Peru,PER,1966,12045783.0,6113607728.0,16.15678714
404,Philippines,PHL,1966,31864175.0,7189017888.0,24.24955486
405,Papua New Guinea,PNG,1966,2539683.0,390973233.3,41.33486107
406,Puerto Rico,PRI,1966,2624995.0,3170500000.0,5.393471061
